#,Date-Time (CEST),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,05/08/2025 00:00:00,4.33,0.00,,,,
2,05/08/2025 00:10:00,4.20,0.00,,,,
3,05/08/2025 00:20:00,3.82,0.00,,,,
4,05/08/2025 00:30:00,3.69,0.00,,,,
5,05/08/2025 00:40:00,3.64,0.00,,,,
6,05/08/2025 00:50:00,3.56,0.00,,,,
7,05/08/2025 01:00:00,3.30,0.00,,,,
8,05/08/2025 01:10:00,3.30,0.00,,,,
9,05/08/2025 01:20:00,3.43,0.00,,,,
10,05/08/2025 01:30:00,3.43,0.00,,,,
11,05/08/2025 01:40:00,3.39,0.00,,,,
12,05/08/2025 01:50:00,3.30,0.00,,,,
13,05/08/2025 02:00:00,3.17,0.00,,,,
14,05/08/2025 02:10:00,2.96,0.00,,,,
15,05/08/2025 02:20:00,2.87,0.00,,,,
16,05/08/2025 02:30:00,2.74,0.00,,,,
17,05/08/2025 02:40:00,2.53,0.00,,,,
18,05/08/2025 02:50:00,2.40,0.00,,,,
19,05/08/2025 03:00:00,2.53,0.00,,,,
20,05/08/2025 03:10:00,2.49,0.00,,,,
21,05/08/2025 03:20:00,2.31,0.00,,,,
22,05/08/2025 03:30:00,2.27,0.00,,,,
23,05/08/2025 03:40:00,2.10,0.00,,,,
24,05/08/2025 03:50:00,1.93,0.00,,,,
25,05/08/2025 04:00:00,1.93,0.00,,,,
26,05/08/2025 04:10:00,1.93,0.00,,,,
27,05/08/2025 04:20:00,1.84,0.00,,,,
28,05/08/2025 04:30:00,1.76,0.00,,,,
29,05/08/2025 04:40:00,1.76,0.00,,,,
30,05/08/2025 04:50:00,1.84,0.00,,,,
31,05/08/2025 05:00:00,1.67,1.30,,,,
32,05/08/2025 05:10:00,1.58,6.56,,,,
33,05/08/2025 05:20:00,1.41,28.04,,,,
34,05/08/2025 05:30:00,1.24,85.16,,,,
35,05/08/2025 05:40:00,1.28,179.68,,,,
36,05/08/2025 05:50:00,1.80,263.92,,,,
37,05/08/2025 06:00:00,2.31,383.84,,,,
38,05/08/2025 06:10:00,2.70,572.32,,,,
39,05/08/2025 06:20:00,3.04,759.04,,,,
40,05/08/2025 06:30:00,3.47,1059.20,,,,
41,05/08/2025 06:40:00,3.69,1352.96,,,,
42,05/08/2025 06:50:00,4.03,1687.04,,,,
43,05/08/2025 07:00:00,4.42,2250.88,,,,
44,05/08/2025 07:10:00,4.97,3398.40,,,,
