#,Date-Time (CEST),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,End of File
1,05/08/2025 00:00:00,5.48,68.95,0.24,,
2,05/08/2025 00:10:00,5.38,70.53,0.46,,
3,05/08/2025 00:20:00,5.17,72.96,0.72,,
4,05/08/2025 00:30:00,4.92,68.33,-0.42,,
5,05/08/2025 00:40:00,4.77,72.97,0.34,,
6,05/08/2025 00:50:00,4.68,73.71,0.39,,
7,05/08/2025 01:00:00,4.56,75.04,0.53,,
8,05/08/2025 01:10:00,4.44,75.17,0.44,,
9,05/08/2025 01:20:00,4.39,74.66,0.29,,
10,05/08/2025 01:30:00,4.39,76.55,0.63,,
11,05/08/2025 01:40:00,4.40,76.41,0.62,,
12,05/08/2025 01:50:00,4.40,74.84,0.33,,
13,05/08/2025 02:00:00,4.34,74.28,0.17,,
14,05/08/2025 02:10:00,4.20,76.24,0.40,,
15,05/08/2025 02:20:00,4.07,74.37,-0.07,,
16,05/08/2025 02:30:00,3.96,78.26,0.52,,
17,05/08/2025 02:40:00,3.81,79.15,0.53,,
18,05/08/2025 02:50:00,3.65,80.07,0.54,,
19,05/08/2025 03:00:00,3.53,79.63,0.35,,
20,05/08/2025 03:10:00,3.50,79.33,0.26,,
21,05/08/2025 03:20:00,3.44,81.10,0.51,,
22,05/08/2025 03:30:00,3.34,79.30,0.11,,
23,05/08/2025 03:40:00,3.25,79.00,-0.04,,
24,05/08/2025 03:50:00,3.18,78.01,-0.28,,
25,05/08/2025 04:00:00,3.06,78.88,-0.24,,
26,05/08/2025 04:10:00,2.98,81.22,0.08,,
27,05/08/2025 04:20:00,2.90,81.59,0.07,,
28,05/08/2025 04:30:00,2.85,82.58,0.18,,
29,05/08/2025 04:40:00,2.72,81.15,-0.19,,
30,05/08/2025 04:50:00,2.68,80.86,-0.28,,
31,05/08/2025 05:00:00,2.65,80.15,-0.43,,
32,05/08/2025 05:10:00,2.57,81.53,-0.27,,
33,05/08/2025 05:20:00,2.47,80.93,-0.47,,
34,05/08/2025 05:30:00,2.35,81.34,-0.51,,
35,05/08/2025 05:40:00,2.25,82.72,-0.38,,
36,05/08/2025 05:50:00,2.19,85.07,-0.06,,
37,05/08/2025 06:00:00,2.25,84.59,-0.08,,
38,05/08/2025 06:10:00,2.39,86.95,0.44,,
39,05/08/2025 06:20:00,2.62,84.97,0.35,,
40,05/08/2025 06:30:00,2.83,83.50,0.31,,
41,05/08/2025 06:40:00,3.06,82.60,0.39,,
42,05/08/2025 06:50:00,3.34,82.56,0.65,,
43,05/08/2025 07:00:00,3.55,80.61,0.53,,
44,05/08/2025 07:10:00,3.79,77.22,0.17,,
45,05/08/2025 07:20:00,4.05,77.37,0.46,,
46,05/08/2025 07:30:00,4.35,76.97,0.67,,
47,05/08/2025 07:40:00,4.62,73.93,0.38,,
48,05/08/2025 07:50:00,4.87,74.26,0.69,,
49,05/08/2025 08:00:00,5.08,75.13,1.05,,
50,05/08/2025 08:10:00,5.35,73.70,1.04,,
51,05/08/2025 08:20:00,5.70,71.40,0.94,,
52,05/08/2025 08:30:00,6.04,73.36,1.64,,
53,05/08/2025 08:40:00,6.41,70.33,1.41,,
54,05/08/2025 08:50:00,6.82,66.04,0.93,,
55,05/08/2025 09:00:00,7.16,64.66,0.96,,
56,05/08/2025 09:10:00,7.52,63.79,1.11,,
57,05/08/2025 09:20:00,7.83,58.53,0.22,,
58,05/08/2025 09:30:00,8.16,59.17,0.68,,
59,05/08/2025 09:40:00,8.54,57.24,0.57,,
60,05/08/2025 09:50:00,8.80,55.30,0.34,,
61,05/08/2025 10:00:00,9.12,49.66,-0.84,,
62,05/08/2025 10:10:00,9.38,49.07,-0.76,,
63,05/08/2025 10:20:00,9.78,48.96,-0.42,,
64,05/08/2025 10:30:00,9.95,48.14,-0.50,,
65,05/08/2025 10:40:00,10.08,44.52,-1.45,,
66,05/08/2025 10:50:00,10.25,44.81,-1.21,,
67,05/08/2025 11:00:00,10.63,47.53,-0.05,,
68,05/08/2025 11:10:00,10.78,44.69,-0.76,,
69,05/08/2025 11:20:00,10.73,45.70,-0.50,,
70,05/08/2025 11:30:00,11.05,44.41,-0.60,,
71,05/08/2025 11:40:00,11.16,43.63,-0.74,,
72,05/08/2025 11:50:00,11.49,46.99,0.58,,
