#,Date-Time (CEST),Temperature   (°C),Light   (lux),Host Connected,Button Down,Button Up,End of File
1,05/08/2025 00:00:00,5.45,0.00,,,,
2,05/08/2025 00:10:00,5.15,0.00,,,,
3,05/08/2025 00:20:00,4.97,0.00,,,,
4,05/08/2025 00:30:00,4.93,0.00,,,,
5,05/08/2025 00:40:00,5.06,0.00,,,,
6,05/08/2025 00:50:00,4.59,0.00,,,,
7,05/08/2025 01:00:00,4.63,0.00,,,,
8,05/08/2025 01:10:00,4.42,0.00,,,,
9,05/08/2025 01:20:00,4.59,0.00,,,,
10,05/08/2025 01:30:00,4.37,0.00,,,,
11,05/08/2025 01:40:00,4.03,0.00,,,,
12,05/08/2025 01:50:00,3.39,0.00,,,,
13,05/08/2025 02:00:00,3.17,0.00,,,,
14,05/08/2025 02:10:00,3.73,0.00,,,,
15,05/08/2025 02:20:00,3.64,0.00,,,,
16,05/08/2025 02:30:00,3.17,0.00,,,,
17,05/08/2025 02:40:00,2.96,0.00,,,,
18,05/08/2025 02:50:00,3.04,0.00,,,,
19,05/08/2025 03:00:00,3.13,0.00,,,,
20,05/08/2025 03:10:00,2.91,0.00,,,,
21,05/08/2025 03:20:00,3.04,0.00,,,,
22,05/08/2025 03:30:00,3.00,0.00,,,,
23,05/08/2025 03:40:00,2.44,0.00,,,,
24,05/08/2025 03:50:00,2.31,0.00,,,,
25,05/08/2025 04:00:00,2.36,0.00,,,,
26,05/08/2025 04:10:00,2.53,0.00,,,,
27,05/08/2025 04:20:00,2.14,0.00,,,,
28,05/08/2025 04:30:00,1.93,0.00,,,,
29,05/08/2025 04:40:00,2.14,0.21,,,,
30,05/08/2025 04:50:00,2.36,0.00,,,,
31,05/08/2025 05:00:00,2.61,1.06,,,,
32,05/08/2025 05:10:00,2.19,6.85,,,,
33,05/08/2025 05:20:00,2.06,28.39,,,,
34,05/08/2025 05:30:00,1.84,84.20,,,,
35,05/08/2025 05:40:00,2.10,139.28,,,,
36,05/08/2025 05:50:00,2.70,206.16,,,,
