#,Date-Time (CEST),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,05/02/2025 00:00:00,12.52,0.00,,,,
2,05/02/2025 00:10:00,12.74,0.00,,,,
3,05/02/2025 00:20:00,12.78,0.00,,,,
4,05/02/2025 00:30:00,12.82,0.00,,,,
5,05/02/2025 00:40:00,12.70,0.00,,,,
6,05/02/2025 00:50:00,12.74,0.00,,,,
7,05/02/2025 01:00:00,12.87,0.00,,,,
8,05/02/2025 01:10:00,13.30,0.00,,,,
9,05/02/2025 01:20:00,13.51,0.00,,,,
10,05/02/2025 01:30:00,13.43,0.00,,,,
11,05/02/2025 01:40:00,13.34,0.00,,,,
12,05/02/2025 01:50:00,13.30,0.00,,,,
13,05/02/2025 02:00:00,13.12,0.00,,,,
14,05/02/2025 02:10:00,12.95,0.00,,,,
15,05/02/2025 02:20:00,12.91,0.00,,,,
16,05/02/2025 02:30:00,12.52,0.00,,,,
17,05/02/2025 02:40:00,12.61,0.00,,,,
18,05/02/2025 02:50:00,12.31,0.00,,,,
19,05/02/2025 03:00:00,11.97,0.00,,,,
20,05/02/2025 03:10:00,12.22,0.00,,,,
21,05/02/2025 03:20:00,12.40,0.00,,,,
22,05/02/2025 03:30:00,12.40,0.00,,,,
23,05/02/2025 03:40:00,12.27,0.00,,,,
24,05/02/2025 03:50:00,12.31,0.00,,,,
25,05/02/2025 04:00:00,12.40,0.00,,,,
26,05/02/2025 04:10:00,12.40,0.42,,,,
27,05/02/2025 04:20:00,12.57,0.00,,,,
28,05/02/2025 04:30:00,12.48,0.00,,,,
29,05/02/2025 04:40:00,12.35,0.00,,,,
30,05/02/2025 04:50:00,12.48,0.00,,,,
31,05/02/2025 05:00:00,12.44,0.00,,,,
32,05/02/2025 05:10:00,12.22,1.28,,,,
33,05/02/2025 05:20:00,12.22,6.84,,,,
34,05/02/2025 05:30:00,12.10,31.36,,,,
35,05/02/2025 05:40:00,11.97,101.52,,,,
36,05/02/2025 05:50:00,12.01,229.76,,,,
37,05/02/2025 06:00:00,12.18,462.08,,,,
38,05/02/2025 06:10:00,12.40,709.44,,,,
39,05/02/2025 06:20:00,12.52,1373.44,,,,
40,05/02/2025 06:30:00,12.95,1305.28,,,,
41,05/02/2025 06:40:00,13.00,1642.24,,,,
42,05/02/2025 06:50:00,13.34,1902.72,,,,
43,05/02/2025 07:00:00,13.17,2417.92,,,,
44,05/02/2025 07:10:00,13.90,3258.88,,,,
45,05/02/2025 07:20:00,14.67,3573.76,,,,
46,05/02/2025 07:30:00,15.23,3850.24,,,,
47,05/02/2025 07:40:00,15.74,4883.20,,,,
48,05/02/2025 07:50:00,15.83,4048.64,,,,
49,05/02/2025 08:00:00,16.13,5329.92,,,,
50,05/02/2025 08:10:00,16.64,4660.48,,,,
51,05/02/2025 08:20:00,16.94,3799.04,,,,
52,05/02/2025 08:30:00,17.46,4195.84,,,,
53,05/02/2025 08:40:00,18.92,7147.52,,,,
54,05/02/2025 08:50:00,20.42,8350.72,,,,
55,05/02/2025 09:00:00,20.85,6556.16,,,,
