#,Date-Time (CEST),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,End of File
1,05/23/2025 00:00:00,4.19,71.50,-0.49,,
2,05/23/2025 00:10:00,4.34,71.12,-0.42,,
3,05/23/2025 00:20:00,4.34,72.15,-0.23,,
4,05/23/2025 00:30:00,4.30,73.82,0.04,,
5,05/23/2025 00:40:00,4.24,73.21,-0.12,,
6,05/23/2025 00:50:00,4.28,72.35,-0.25,,
7,05/23/2025 01:00:00,4.34,73.43,0.02,,
8,05/23/2025 01:10:00,4.39,72.92,-0.04,,
9,05/23/2025 01:20:00,4.38,72.56,-0.11,,
10,05/23/2025 01:30:00,4.19,72.62,-0.28,,
11,05/23/2025 01:40:00,3.93,73.66,-0.34,,
12,05/23/2025 01:50:00,3.68,74.86,-0.36,,
13,05/23/2025 02:00:00,3.58,76.14,-0.22,,
14,05/23/2025 02:10:00,3.72,73.67,-0.54,,
15,05/23/2025 02:20:00,3.87,73.71,-0.39,,
16,05/23/2025 02:30:00,3.77,74.56,-0.32,,
17,05/23/2025 02:40:00,3.66,75.53,-0.25,,
18,05/23/2025 02:50:00,3.46,77.61,-0.08,,
19,05/23/2025 03:00:00,3.24,79.34,0.01,,
20,05/23/2025 03:10:00,3.23,78.62,-0.13,,
21,05/23/2025 03:20:00,3.26,77.79,-0.24,,
22,05/23/2025 03:30:00,3.16,78.23,-0.26,,
23,05/23/2025 03:40:00,2.92,79.09,-0.34,,
24,05/23/2025 03:50:00,2.69,79.75,-0.46,,
25,05/23/2025 04:00:00,2.65,82.28,-0.07,,
26,05/23/2025 04:10:00,2.59,81.21,-0.30,,
27,05/23/2025 04:20:00,2.51,81.19,-0.39,,
28,05/23/2025 04:30:00,2.35,82.15,-0.38,,
29,05/23/2025 04:40:00,2.28,82.35,-0.42,,
30,05/23/2025 04:50:00,2.16,83.13,-0.41,,
31,05/23/2025 05:00:00,2.08,83.49,-0.42,,
32,05/23/2025 05:10:00,2.02,84.03,-0.39,,
33,05/23/2025 05:20:00,2.07,83.67,-0.40,,
34,05/23/2025 05:30:00,2.09,83.83,-0.35,,
35,05/23/2025 05:40:00,2.16,84.17,-0.24,,
36,05/23/2025 05:50:00,2.27,83.97,-0.16,,
37,05/23/2025 06:00:00,2.29,84.14,-0.11,,
38,05/23/2025 06:10:00,2.20,84.32,-0.17,,
39,05/23/2025 06:20:00,2.20,85.14,-0.03,,
40,05/23/2025 06:30:00,2.31,84.96,0.04,,
41,05/23/2025 06:40:00,2.45,85.17,0.21,,
42,05/23/2025 06:50:00,2.58,84.93,0.30,,
43,05/23/2025 07:00:00,2.80,84.38,0.43,,
44,05/23/2025 07:10:00,3.12,83.97,0.68,,
45,05/23/2025 07:20:00,3.64,83.01,1.03,,
46,05/23/2025 07:30:00,4.44,79.21,1.16,,
47,05/23/2025 07:40:00,5.05,76.49,1.27,,
48,05/23/2025 07:50:00,5.77,72.80,1.28,,
49,05/23/2025 08:00:00,6.37,72.87,1.87,,
50,05/23/2025 08:10:00,6.95,68.36,1.53,,
51,05/23/2025 08:20:00,7.48,67.45,1.85,,
52,05/23/2025 08:30:00,7.95,64.15,1.60,,
53,05/23/2025 08:40:00,8.24,62.45,1.50,,
54,05/23/2025 08:50:00,8.73,62.53,1.99,,
55,05/23/2025 09:00:00,9.19,62.15,2.34,,
56,05/23/2025 09:10:00,9.12,58.19,1.34,,
57,05/23/2025 09:20:00,9.12,57.09,1.08,,
58,05/23/2025 09:30:00,9.50,53.65,0.58,,
59,05/23/2025 09:40:00,9.84,55.13,1.27,,
60,05/23/2025 09:50:00,9.72,58.48,1.98,,
61,05/23/2025 10:00:00,9.87,55.24,1.33,,
62,05/23/2025 10:10:00,9.95,51.75,0.50,,
63,05/23/2025 10:20:00,10.22,51.52,0.68,,
64,05/23/2025 10:30:00,10.82,49.41,0.66,,
65,05/23/2025 10:40:00,11.87,46.62,0.82,,
66,05/23/2025 10:50:00,10.88,47.55,0.18,,
67,05/23/2025 11:00:00,11.46,48.68,1.04,,
68,05/23/2025 11:10:00,12.54,39.28,-0.93,,
69,05/23/2025 11:20:00,11.34,42.91,-0.80,,
70,05/23/2025 11:30:00,10.73,49.16,0.51,,
71,05/23/2025 11:40:00,10.96,41.94,-1.46,,
72,05/23/2025 11:50:00,11.94,43.12,-0.19,,
73,05/23/2025 12:00:00,13.07,39.61,-0.34,,
74,05/23/2025 12:10:00,12.36,46.59,1.26,,
75,05/23/2025 12:20:00,13.00,45.27,1.44,,
