#,Date-Time (CEST),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,05/23/2025 00:00:00,3.17,0.00,,,,
2,05/23/2025 00:10:00,2.96,0.00,,,,
3,05/23/2025 00:20:00,2.83,0.00,,,,
4,05/23/2025 00:30:00,2.83,0.00,,,,
5,05/23/2025 00:40:00,3.13,0.00,,,,
6,05/23/2025 00:50:00,3.43,0.00,,,,
7,05/23/2025 01:00:00,3.34,0.00,,,,
8,05/23/2025 01:10:00,3.52,0.00,,,,
9,05/23/2025 01:20:00,2.91,0.00,,,,
10,05/23/2025 01:30:00,2.44,0.00,,,,
11,05/23/2025 01:40:00,1.97,0.00,,,,
12,05/23/2025 01:50:00,1.84,0.00,,,,
13,05/23/2025 02:00:00,1.80,0.00,,,,
14,05/23/2025 02:10:00,2.57,0.00,,,,
15,05/23/2025 02:20:00,2.31,0.00,,,,
16,05/23/2025 02:30:00,2.01,0.00,,,,
17,05/23/2025 02:40:00,2.06,0.00,,,,
18,05/23/2025 02:50:00,1.54,0.00,,,,
19,05/23/2025 03:00:00,1.46,0.00,,,,
20,05/23/2025 03:10:00,1.88,0.00,,,,
21,05/23/2025 03:20:00,1.71,0.00,,,,
22,05/23/2025 03:30:00,1.33,0.00,,,,
23,05/23/2025 03:40:00,0.94,0.00,,,,
24,05/23/2025 03:50:00,0.98,0.00,,,,
25,05/23/2025 04:00:00,1.11,0.00,,,,
26,05/23/2025 04:10:00,0.77,0.00,,,,
27,05/23/2025 04:20:00,0.90,0.00,,,,
28,05/23/2025 04:30:00,0.94,1.04,,,,
29,05/23/2025 04:40:00,0.73,5.01,,,,
30,05/23/2025 04:50:00,0.68,20.10,,,,
31,05/23/2025 05:00:00,0.55,66.42,,,,
32,05/23/2025 05:10:00,0.68,179.20,,,,
33,05/23/2025 05:20:00,0.86,377.44,,,,
34,05/23/2025 05:30:00,1.03,664.96,,,,
35,05/23/2025 05:40:00,1.24,1013.44,,,,
36,05/23/2025 05:50:00,1.41,1395.84,,,,
37,05/23/2025 06:00:00,1.33,1749.76,,,,
38,05/23/2025 06:10:00,1.20,2069.12,,,,
39,05/23/2025 06:20:00,1.67,2339.84,,,,
40,05/23/2025 06:30:00,2.01,2606.72,,,,
41,05/23/2025 06:40:00,2.19,2912.00,,,,
42,05/23/2025 06:50:00,2.53,3134.72,,,,
43,05/23/2025 07:00:00,3.00,3370.24,,,,
44,05/23/2025 07:10:00,3.47,3595.52,,,,
45,05/23/2025 07:20:00,4.37,6074.88,,,,
46,05/23/2025 07:30:00,6.39,4391.68,,,,
47,05/23/2025 07:40:00,6.26,4358.40,,,,
48,05/23/2025 07:50:00,7.55,4682.24,,,,
49,05/23/2025 08:00:00,8.02,5568.00,,,,
50,05/23/2025 08:10:00,9.69,10526.72,,,,
51,05/23/2025 08:20:00,10.55,7293.44,,,,
52,05/23/2025 08:30:00,14.63,29706.24,,,,
53,05/23/2025 08:40:00,13.85,31907.84,,,,
54,05/23/2025 08:50:00,16.94,19031.04,,,,
55,05/23/2025 09:00:00,13.25,7265.28,,,,
56,05/23/2025 09:10:00,11.24,8522.24,,,,
57,05/23/2025 09:20:00,13.04,8409.60,,,,
58,05/23/2025 09:30:00,17.33,31109.12,,,,
59,05/23/2025 09:40:00,17.03,62832.64,,,,
60,05/23/2025 09:50:00,16.39,8501.76,,,,
61,05/23/2025 10:00:00,19.60,60661.76,,,,
62,05/23/2025 10:10:00,13.43,12257.28,,,,
63,05/23/2025 10:20:00,21.06,19512.32,,,,
64,05/23/2025 10:30:00,20.16,9873.92,,,,
65,05/23/2025 10:40:00,28.48,8202.24,,,,
66,05/23/2025 10:50:00,17.72,61624.32,,,,
67,05/23/2025 11:00:00,28.35,57466.88,,,,
68,05/23/2025 11:10:00,24.97,13317.12,,,,
69,05/23/2025 11:20:00,14.07,9687.04,,,,
70,05/23/2025 11:30:00,22.61,76062.72,,,,
71,05/23/2025 11:40:00,14.97,11304.96,,,,
72,05/23/2025 11:50:00,32.00,84049.92,,,,
73,05/23/2025 12:00:00,21.79,10910.72,,,,
74,05/23/2025 12:10:00,25.78,75407.36,,,,
75,05/23/2025 12:20:00,31.36,78069.76,,,,
