#,Date-Time (CEST),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,05/08/2025 00:00:00,4.46,0.00,,,,
2,05/08/2025 00:10:00,4.33,0.00,,,,
3,05/08/2025 00:20:00,4.16,0.00,,,,
4,05/08/2025 00:30:00,3.99,0.00,,,,
5,05/08/2025 00:40:00,3.86,0.00,,,,
6,05/08/2025 00:50:00,3.90,0.00,,,,
7,05/08/2025 01:00:00,3.77,0.00,,,,
8,05/08/2025 01:10:00,3.56,0.00,,,,
9,05/08/2025 01:20:00,3.43,0.00,,,,
10,05/08/2025 01:30:00,3.21,0.00,,,,
11,05/08/2025 01:40:00,3.13,0.00,,,,
12,05/08/2025 01:50:00,3.09,0.00,,,,
13,05/08/2025 02:00:00,2.91,0.00,,,,
14,05/08/2025 02:10:00,2.83,0.00,,,,
15,05/08/2025 02:20:00,2.61,0.00,,,,
16,05/08/2025 02:30:00,2.66,0.00,,,,
17,05/08/2025 02:40:00,2.36,0.00,,,,
18,05/08/2025 02:50:00,2.19,0.00,,,,
19,05/08/2025 03:00:00,2.23,0.00,,,,
20,05/08/2025 03:10:00,2.01,0.00,,,,
21,05/08/2025 03:20:00,2.01,0.00,,,,
22,05/08/2025 03:30:00,1.97,0.00,,,,
23,05/08/2025 03:40:00,1.80,0.00,,,,
24,05/08/2025 03:50:00,1.71,0.00,,,,
25,05/08/2025 04:00:00,1.71,0.00,,,,
26,05/08/2025 04:10:00,1.67,0.00,,,,
27,05/08/2025 04:20:00,1.76,0.00,,,,
28,05/08/2025 04:30:00,1.67,0.00,,,,
29,05/08/2025 04:40:00,1.37,0.00,,,,
30,05/08/2025 04:50:00,1.37,0.21,,,,
31,05/08/2025 05:00:00,1.33,1.91,,,,
32,05/08/2025 05:10:00,1.37,9.81,,,,
33,05/08/2025 05:20:00,1.24,40.20,,,,
34,05/08/2025 05:30:00,1.37,115.92,,,,
35,05/08/2025 05:40:00,1.33,226.72,,,,
36,05/08/2025 05:50:00,1.71,335.68,,,,
37,05/08/2025 06:00:00,2.27,504.64,,,,
38,05/08/2025 06:10:00,2.66,738.24,,,,
39,05/08/2025 06:20:00,3.04,987.84,,,,
40,05/08/2025 06:30:00,3.47,1355.52,,,,
41,05/08/2025 06:40:00,3.86,1752.32,,,,
42,05/08/2025 06:50:00,4.24,2231.68,,,,
43,05/08/2025 07:00:00,4.76,3011.84,,,,
44,05/08/2025 07:10:00,5.57,4596.48,,,,
45,05/08/2025 07:20:00,6.52,6054.40,,,,
46,05/08/2025 07:30:00,7.03,6510.08,,,,
47,05/08/2025 07:40:00,7.20,6786.56,,,,
48,05/08/2025 07:50:00,7.33,6871.04,,,,
49,05/08/2025 08:00:00,7.85,8360.96,,,,
50,05/08/2025 08:10:00,8.41,8852.48,,,,
51,05/08/2025 08:20:00,9.05,11699.20,,,,
52,05/08/2025 08:30:00,9.82,11166.72,,,,
53,05/08/2025 08:40:00,11.07,11054.08,,,,
54,05/08/2025 08:50:00,11.28,14510.08,,,,
55,05/08/2025 09:00:00,18.06,43048.96,,,,
56,05/08/2025 09:10:00,14.15,14929.92,,,,
57,05/08/2025 09:20:00,13.38,18104.32,,,,
58,05/08/2025 09:30:00,15.01,17530.88,,,,
59,05/08/2025 09:40:00,12.95,9820.16,,,,
60,05/08/2025 09:50:00,13.47,9008.64,,,,
61,05/08/2025 10:00:00,14.28,15088.64,,,,
62,05/08/2025 10:10:00,13.43,8803.84,,,,
63,05/08/2025 10:20:00,16.77,33566.72,,,,
64,05/08/2025 10:30:00,15.70,13322.24,,,,
65,05/08/2025 10:40:00,22.56,66990.08,,,,
66,05/08/2025 10:50:00,27.32,68648.96,,,,
67,05/08/2025 11:00:00,19.09,13701.12,,,,
68,05/08/2025 11:10:00,16.34,20224.00,,,,
69,05/08/2025 11:20:00,18.62,19450.88,,,,
70,05/08/2025 11:30:00,16.94,16578.56,,,,
71,05/08/2025 11:40:00,16.30,17489.92,,,,
72,05/08/2025 11:50:00,16.30,19169.28,,,,
73,05/08/2025 12:00:00,17.80,24616.96,,,,
74,05/08/2025 12:10:00,20.85,29040.64,,,,
75,05/08/2025 12:20:00,22.82,49561.60,,,,
76,05/08/2025 12:30:00,22.26,36034.56,,,,
77,05/08/2025 12:40:00,21.15,29358.08,,,,
78,05/08/2025 12:50:00,20.59,30248.96,,,,
79,05/08/2025 13:00:00,18.19,21841.92,,,,
80,05/08/2025 13:10:00,19.26,27310.08,,,,
81,05/08/2025 13:20:00,18.62,21268.48,,,,
82,05/08/2025 13:30:00,17.41,23418.88,,,,
83,05/08/2025 13:40:00,18.92,23552.00,,,,
84,05/08/2025 13:50:00,18.83,24115.20,,,,
85,05/08/2025 14:00:00,19.65,27258.88,,,,
86,05/08/2025 14:10:00,20.46,32307.20,,,,
87,05/08/2025 14:20:00,26.34,58060.80,,,,
88,05/08/2025 14:30:00,27.41,53862.40,,,,
89,05/08/2025 14:40:00,27.75,52695.04,,,,
90,05/08/2025 14:50:00,26.98,48189.44,,,,
91,05/08/2025 15:00:00,26.72,47493.12,,,,
92,05/08/2025 15:10:00,25.91,46346.24,,,,
93,05/08/2025 15:20:00,25.61,35788.80,,,,
94,05/08/2025 15:30:00,25.31,44503.04,,,,
95,05/08/2025 15:40:00,25.78,45834.24,,,,
96,05/08/2025 15:50:00,27.50,49336.32,,,,
97,05/08/2025 16:00:00,29.38,53678.08,,,,
98,05/08/2025 16:10:00,26.85,55377.92,,,,
99,05/08/2025 16:20:00,27.41,52080.64,,,,
100,05/08/2025 16:30:00,29.56,49418.24,,,,
101,05/08/2025 16:40:00,24.32,22824.96,,,,
102,05/08/2025 16:50:00,26.72,46325.76,,,,
103,05/08/2025 17:00:00,28.48,42311.68,,,,
104,05/08/2025 17:10:00,30.20,39639.04,,,,
105,05/08/2025 17:20:00,21.79,11008.00,,,,
106,05/08/2025 17:30:00,25.91,33914.88,,,,
107,05/08/2025 17:40:00,23.94,15191.04,,,,
108,05/08/2025 17:50:00,23.81,29634.56,,,,
109,05/08/2025 18:00:00,25.65,28221.44,,,,
110,05/08/2025 18:10:00,23.38,13327.36,,,,
111,05/08/2025 18:20:00,15.96,7697.92,,,,
112,05/08/2025 18:30:00,14.15,7649.28,,,,
113,05/08/2025 18:40:00,13.51,7587.84,,,,
114,05/08/2025 18:50:00,13.17,7403.52,,,,
115,05/08/2025 19:00:00,13.04,6807.04,,,,
116,05/08/2025 19:10:00,12.40,6087.68,,,,
117,05/08/2025 19:20:00,11.75,4729.60,,,,
