#,Date-Time (CEST),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,05/08/2025 00:00:00,5.15,0.00,,,,
2,05/08/2025 00:10:00,4.80,0.00,,,,
3,05/08/2025 00:20:00,4.50,0.00,,,,
4,05/08/2025 00:30:00,4.59,0.00,,,,
5,05/08/2025 00:40:00,4.46,0.00,,,,
6,05/08/2025 00:50:00,4.37,0.00,,,,
7,05/08/2025 01:00:00,4.50,0.00,,,,
8,05/08/2025 01:10:00,3.99,0.00,,,,
9,05/08/2025 01:20:00,3.77,0.00,,,,
10,05/08/2025 01:30:00,3.77,0.00,,,,
11,05/08/2025 01:40:00,3.90,0.00,,,,
12,05/08/2025 01:50:00,3.99,0.00,,,,
13,05/08/2025 02:00:00,3.64,0.00,,,,
14,05/08/2025 02:10:00,2.83,0.00,,,,
15,05/08/2025 02:20:00,2.74,0.00,,,,
16,05/08/2025 02:30:00,2.66,0.00,,,,
17,05/08/2025 02:40:00,2.27,0.00,,,,
18,05/08/2025 02:50:00,2.27,0.00,,,,
19,05/08/2025 03:00:00,2.10,0.00,,,,
20,05/08/2025 03:10:00,2.01,0.00,,,,
21,05/08/2025 03:20:00,1.88,0.00,,,,
22,05/08/2025 03:30:00,1.76,0.00,,,,
23,05/08/2025 03:40:00,1.46,0.00,,,,
24,05/08/2025 03:50:00,1.54,0.00,,,,
25,05/08/2025 04:00:00,1.54,0.00,,,,
26,05/08/2025 04:10:00,1.67,0.00,,,,
27,05/08/2025 04:20:00,1.97,0.00,,,,
28,05/08/2025 04:30:00,1.88,0.00,,,,
29,05/08/2025 04:40:00,1.41,0.00,,,,
30,05/08/2025 04:50:00,1.33,0.41,,,,
31,05/08/2025 05:00:00,1.46,2.28,,,,
32,05/08/2025 05:10:00,1.28,10.80,,,,
33,05/08/2025 05:20:00,1.24,41.34,,,,
34,05/08/2025 05:30:00,1.41,117.88,,,,
35,05/08/2025 05:40:00,1.20,225.76,,,,
36,05/08/2025 05:50:00,1.63,336.96,,,,
37,05/08/2025 06:00:00,2.27,502.24,,,,
38,05/08/2025 06:10:00,2.66,725.76,,,,
39,05/08/2025 06:20:00,3.17,1001.28,,,,
40,05/08/2025 06:30:00,3.56,1395.20,,,,
41,05/08/2025 06:40:00,3.99,1772.80,,,,
42,05/08/2025 06:50:00,4.46,2251.52,,,,
43,05/08/2025 07:00:00,4.84,3009.28,,,,
44,05/08/2025 07:10:00,5.49,4596.48,,,,
45,05/08/2025 07:20:00,6.39,6074.88,,,,
46,05/08/2025 07:30:00,6.82,6507.52,,,,
47,05/08/2025 07:40:00,7.08,6776.32,,,,
48,05/08/2025 07:50:00,7.33,7124.48,,,,
49,05/08/2025 08:00:00,7.59,8076.80,,,,
50,05/08/2025 08:10:00,8.36,9205.76,,,,
51,05/08/2025 08:20:00,9.95,14888.96,,,,
52,05/08/2025 08:30:00,11.28,17740.80,,,,
53,05/08/2025 08:40:00,11.97,11852.80,,,,
54,05/08/2025 08:50:00,11.49,11304.96,,,,
55,05/08/2025 09:00:00,11.92,13214.72,,,,
56,05/08/2025 09:10:00,16.08,32133.12,,,,
57,05/08/2025 09:20:00,13.60,23633.92,,,,
58,05/08/2025 09:30:00,17.84,34314.24,,,,
59,05/08/2025 09:40:00,17.24,23480.32,,,,
60,05/08/2025 09:50:00,14.11,11607.04,,,,
61,05/08/2025 10:00:00,12.01,9438.72,,,,
62,05/08/2025 10:10:00,11.84,9139.20,,,,
63,05/08/2025 10:20:00,14.84,26163.20,,,,
64,05/08/2025 10:30:00,18.53,32491.52,,,,
65,05/08/2025 10:40:00,14.67,13306.88,,,,
66,05/08/2025 10:50:00,14.24,11095.04,,,,
67,05/08/2025 11:00:00,14.07,13224.96,,,,
68,05/08/2025 11:10:00,14.71,15697.92,,,,
69,05/08/2025 11:20:00,14.67,16337.92,,,,
70,05/08/2025 11:30:00,17.54,35891.20,,,,
71,05/08/2025 11:40:00,19.90,21657.60,,,,
72,05/08/2025 11:50:00,18.70,19947.52,,,,
73,05/08/2025 12:00:00,21.66,37007.36,,,,
74,05/08/2025 12:10:00,23.34,53514.24,,,,
75,05/08/2025 12:20:00,20.03,30679.04,,,,
76,05/08/2025 12:30:00,21.53,26030.08,,,,
77,05/08/2025 12:40:00,18.92,22466.56,,,,
78,05/08/2025 12:50:00,20.68,40837.12,,,,
79,05/08/2025 13:00:00,16.99,19880.96,,,,
80,05/08/2025 13:10:00,18.10,31692.80,,,,
81,05/08/2025 13:20:00,17.20,19118.08,,,,
82,05/08/2025 13:30:00,15.91,27207.68,,,,
83,05/08/2025 13:40:00,17.67,24217.60,,,,
84,05/08/2025 13:50:00,16.69,19240.96,,,,
85,05/08/2025 14:00:00,17.46,21043.20,,,,
86,05/08/2025 14:10:00,18.27,23900.16,,,,
87,05/08/2025 14:20:00,20.25,27770.88,,,,
88,05/08/2025 14:30:00,19.09,25518.08,,,,
89,05/08/2025 14:40:00,23.42,48701.44,,,,
90,05/08/2025 14:50:00,22.13,40161.28,,,,
91,05/08/2025 15:00:00,20.03,20592.64,,,,
92,05/08/2025 15:10:00,16.13,16000.00,,,,
93,05/08/2025 15:20:00,15.57,15677.44,,,,
94,05/08/2025 15:30:00,16.08,16245.76,,,,
95,05/08/2025 15:40:00,15.91,14709.76,,,,
96,05/08/2025 15:50:00,15.53,13952.00,,,,
