#,Date-Time (CEST),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,End of File
1,05/07/2025 14:01:59,,,,Logged,
2,05/08/2025 00:00:00,6.40,57.35,-1.41,,
3,05/08/2025 00:10:00,6.16,59.46,-1.14,,
4,05/08/2025 00:20:00,5.92,61.91,-0.82,,
5,05/08/2025 00:30:00,5.72,60.13,-1.41,,
6,05/08/2025 00:40:00,5.58,62.96,-0.91,,
7,05/08/2025 00:50:00,5.46,63.38,-0.93,,
8,05/08/2025 01:00:00,5.49,64.92,-0.57,,
9,05/08/2025 01:10:00,5.34,65.50,-0.59,,
10,05/08/2025 01:20:00,5.10,65.94,-0.73,,
11,05/08/2025 01:30:00,4.95,67.88,-0.48,,
12,05/08/2025 01:40:00,4.87,67.86,-0.56,,
13,05/08/2025 01:50:00,4.87,67.60,-0.61,,
14,05/08/2025 02:00:00,4.93,67.81,-0.52,,
15,05/08/2025 02:10:00,4.58,68.52,-0.70,,
16,05/08/2025 02:20:00,4.27,69.04,-0.90,,
17,05/08/2025 02:30:00,4.05,71.94,-0.54,,
18,05/08/2025 02:40:00,3.84,72.18,-0.70,,
19,05/08/2025 02:50:00,3.62,73.83,-0.61,,
20,05/08/2025 03:00:00,3.44,74.42,-0.68,,
21,05/08/2025 03:10:00,3.30,75.80,-0.56,,
22,05/08/2025 03:20:00,3.12,76.72,-0.56,,
23,05/08/2025 03:30:00,2.99,76.99,-0.64,,
24,05/08/2025 03:40:00,2.86,77.19,-0.74,,
25,05/08/2025 03:50:00,2.72,77.87,-0.75,,
26,05/08/2025 04:00:00,2.63,80.37,-0.41,,
27,05/08/2025 04:10:00,2.59,79.33,-0.62,,
28,05/08/2025 04:20:00,2.69,78.62,-0.65,,
29,05/08/2025 04:30:00,2.80,78.39,-0.58,,
30,05/08/2025 04:40:00,2.68,78.56,-0.67,,
31,05/08/2025 04:50:00,2.51,79.09,-0.75,,
32,05/08/2025 05:00:00,2.41,80.38,-0.63,,
33,05/08/2025 05:10:00,2.33,80.50,-0.68,,
34,05/08/2025 05:20:00,2.25,80.41,-0.77,,
35,05/08/2025 05:30:00,2.23,80.82,-0.73,,
36,05/08/2025 05:40:00,2.12,80.96,-0.81,,
37,05/08/2025 05:50:00,2.05,82.63,-0.60,,
38,05/08/2025 06:00:00,2.12,83.71,-0.35,,
39,05/08/2025 06:10:00,2.27,83.80,-0.18,,
40,05/08/2025 06:20:00,2.54,81.92,-0.24,,
41,05/08/2025 06:30:00,2.87,81.46,0.01,,
42,05/08/2025 06:40:00,3.19,77.34,-0.39,,
43,05/08/2025 06:50:00,3.50,79.06,0.22,,
44,05/08/2025 07:00:00,3.82,76.19,0.02,,
45,05/08/2025 07:10:00,4.11,74.38,-0.03,,
46,05/08/2025 07:20:00,4.40,72.91,-0.03,,
47,05/08/2025 07:30:00,4.72,72.49,0.21,,
48,05/08/2025 07:40:00,5.01,70.20,0.04,,
49,05/08/2025 07:50:00,5.23,68.13,-0.17,,
50,05/08/2025 08:00:00,5.50,66.74,-0.19,,
51,05/08/2025 08:10:00,5.83,66.78,0.13,,
52,05/08/2025 08:20:00,6.18,65.79,0.26,,
53,05/08/2025 08:30:00,6.70,64.24,0.44,,
54,05/08/2025 08:40:00,7.21,61.84,0.39,,
55,05/08/2025 08:50:00,7.52,60.78,0.44,,
56,05/08/2025 09:00:00,8.03,58.32,0.35,,
57,05/08/2025 09:10:00,8.70,55.23,0.23,,
