#,Date-Time (CEST),Temperature   (°C),Light   (lux),Host Connected,Button Down,Button Up,End of File
1,05/01/2025 18:07:17,,,Logged,,,
2,05/02/2025 00:00:00,11.32,0.00,,,,
3,05/02/2025 00:10:00,11.02,0.00,,,,
4,05/02/2025 00:20:00,11.11,0.00,,,,
5,05/02/2025 00:30:00,10.94,0.00,,,,
6,05/02/2025 00:40:00,10.81,0.00,,,,
7,05/02/2025 00:50:00,10.72,0.00,,,,
8,05/02/2025 01:00:00,10.55,0.00,,,,
9,05/02/2025 01:10:00,10.55,0.00,,,,
10,05/02/2025 01:20:00,10.55,0.00,,,,
11,05/02/2025 01:30:00,10.64,0.00,,,,
12,05/02/2025 01:40:00,10.81,0.00,,,,
13,05/02/2025 01:50:00,10.72,0.00,,,,
14,05/02/2025 02:00:00,10.59,0.00,,,,
15,05/02/2025 02:10:00,10.64,0.00,,,,
16,05/02/2025 02:20:00,10.77,0.00,,,,
17,05/02/2025 02:30:00,10.81,0.00,,,,
18,05/02/2025 02:40:00,10.55,0.00,,,,
19,05/02/2025 02:50:00,10.46,0.00,,,,
20,05/02/2025 03:00:00,10.55,0.00,,,,
21,05/02/2025 03:10:00,10.51,0.00,,,,
22,05/02/2025 03:20:00,10.55,0.00,,,,
23,05/02/2025 03:30:00,10.42,0.00,,,,
24,05/02/2025 03:40:00,10.34,0.00,,,,
25,05/02/2025 03:50:00,10.51,0.00,,,,
26,05/02/2025 04:00:00,10.68,0.00,,,,
27,05/02/2025 04:10:00,10.89,0.00,,,,
28,05/02/2025 04:20:00,10.72,0.00,,,,
29,05/02/2025 04:30:00,10.38,0.00,,,,
30,05/02/2025 04:40:00,10.34,0.00,,,,
31,05/02/2025 04:50:00,10.42,0.00,,,,
32,05/02/2025 05:00:00,10.46,0.20,,,,
33,05/02/2025 05:10:00,10.29,1.67,,,,
34,05/02/2025 05:20:00,10.38,8.18,,,,
35,05/02/2025 05:30:00,10.77,35.38,,,,
36,05/02/2025 05:40:00,10.81,119.16,,,,
37,05/02/2025 05:50:00,10.72,284.08,,,,
38,05/02/2025 06:00:00,10.68,560.16,,,,
39,05/02/2025 06:10:00,10.51,969.92,,,,
40,05/02/2025 06:20:00,10.42,1350.40,,,,
41,05/02/2025 06:30:00,10.34,1415.04,,,,
42,05/02/2025 06:40:00,10.72,2708.48,,,,
43,05/02/2025 06:50:00,11.28,2299.52,,,,
44,05/02/2025 07:00:00,11.79,3786.24,,,,
45,05/02/2025 07:10:00,12.65,3459.84,,,,
46,05/02/2025 07:20:00,13.55,3701.76,,,,
47,05/02/2025 07:30:00,13.73,3991.04,,,,
48,05/02/2025 07:40:00,14.41,4837.12,,,,
49,05/02/2025 07:50:00,14.54,5729.28,,,,
50,05/02/2025 08:00:00,15.14,5422.08,,,,
51,05/02/2025 08:10:00,15.53,5236.48,,,,
52,05/02/2025 08:20:00,16.00,5647.36,,,,
53,05/02/2025 08:30:00,19.73,18083.84,,,,
54,05/02/2025 08:40:00,20.89,8504.32,,,,
55,05/02/2025 08:50:00,20.80,7040.00,,,,
56,05/02/2025 09:00:00,19.56,6617.60,,,,
57,05/02/2025 09:10:00,22.65,9290.24,,,,
58,05/02/2025 09:20:00,22.43,4467.20,,,,
59,05/02/2025 09:30:00,21.19,6435.84,,,,
60,05/02/2025 09:40:00,20.89,5816.32,,,,
61,05/02/2025 09:50:00,24.75,34682.88,,,,
62,05/02/2025 10:00:00,27.75,4061.44,,,,
63,05/02/2025 10:10:00,25.82,24453.12,,,,
64,05/02/2025 10:20:00,27.37,4098.56,,,,
65,05/02/2025 10:30:00,25.31,4638.72,,,,
66,05/02/2025 10:40:00,23.89,4249.60,,,,
67,05/02/2025 10:50:00,24.36,6922.24,,,,
68,05/02/2025 11:00:00,24.02,4117.76,,,,
69,05/02/2025 11:10:00,24.15,4128.00,,,,
70,05/02/2025 11:20:00,24.58,4648.96,,,,
71,05/02/2025 11:30:00,25.01,7114.24,,,,
72,05/02/2025 11:40:00,25.01,5002.24,,,,
73,05/02/2025 11:50:00,26.55,11683.84,,,,
74,05/02/2025 12:00:00,25.14,5427.20,,,,
75,05/02/2025 12:10:00,25.52,8243.20,,,,
76,05/02/2025 12:20:00,26.60,11176.96,,,,
77,05/02/2025 12:30:00,30.50,11601.92,,,,
78,05/02/2025 12:40:00,27.32,14725.12,,,,
79,05/02/2025 12:50:00,28.65,40990.72,,,,
80,05/02/2025 13:00:00,32.73,45240.32,,,,
81,05/02/2025 13:10:00,28.31,7644.16,,,,
82,05/02/2025 13:20:00,28.35,9512.96,,,,
83,05/02/2025 13:30:00,29.08,19404.80,,,,
84,05/02/2025 13:40:00,35.05,20725.76,,,,
85,05/02/2025 13:50:00,28.31,23941.12,,,,
86,05/02/2025 14:00:00,29.04,14228.48,,,,
87,05/02/2025 14:10:00,29.13,9546.24,,,,
88,05/02/2025 14:20:00,27.54,8048.64,,,,
89,05/02/2025 14:30:00,28.27,28538.88,,,,
90,05/02/2025 14:40:00,29.00,8325.12,,,,
91,05/02/2025 14:50:00,28.01,10347.52,,,,
92,05/02/2025 15:00:00,28.27,10823.68,,,,
93,05/02/2025 15:10:00,27.88,8020.48,,,,
94,05/02/2025 15:20:00,28.31,10096.64,,,,
95,05/02/2025 15:30:00,27.84,7375.36,,,,
96,05/02/2025 15:40:00,26.60,7644.16,,,,
97,05/02/2025 15:50:00,26.55,6822.40,,,,
98,05/02/2025 16:00:00,26.81,9848.32,,,,
99,05/02/2025 16:10:00,26.94,8243.20,,,,
100,05/02/2025 16:20:00,27.37,11811.84,,,,
101,05/02/2025 16:30:00,27.88,8606.72,,,,
102,05/02/2025 16:40:00,26.90,5478.40,,,,
103,05/02/2025 16:50:00,26.34,4884.48,,,,
104,05/02/2025 17:00:00,26.85,7746.56,,,,
105,05/02/2025 17:10:00,25.78,3651.84,,,,
106,05/02/2025 17:20:00,24.28,4158.72,,,,
107,05/02/2025 17:30:00,24.71,5952.00,,,,
108,05/02/2025 17:40:00,25.44,5585.92,,,,
109,05/02/2025 17:50:00,25.57,4343.04,,,,
110,05/02/2025 18:00:00,25.52,5045.76,,,,
111,05/02/2025 18:10:00,25.48,5486.08,,,,
112,05/02/2025 18:20:00,25.39,4584.96,,,,
113,05/02/2025 18:30:00,24.32,3587.84,,,,
114,05/02/2025 18:40:00,24.71,4847.36,,,,
115,05/02/2025 18:50:00,25.39,5360.64,,,,
116,05/02/2025 19:00:00,24.92,3407.36,,,,
117,05/02/2025 19:10:00,23.81,2574.72,,,,
118,05/02/2025 19:20:00,22.82,2364.80,,,,
119,05/02/2025 19:30:00,22.13,1950.08,,,,
120,05/02/2025 19:40:00,21.70,1648.64,,,,
121,05/02/2025 19:50:00,21.53,1317.76,,,,
122,05/02/2025 20:00:00,21.15,1106.88,,,,
123,05/02/2025 20:10:00,20.50,687.04,,,,
124,05/02/2025 20:20:00,19.39,393.76,,,,
125,05/02/2025 20:30:00,18.96,180.72,,,,
126,05/02/2025 20:40:00,18.53,78.52,,,,
127,05/02/2025 20:50:00,17.97,29.50,,,,
128,05/02/2025 21:00:00,17.50,8.60,,,,
129,05/02/2025 21:10:00,17.20,1.46,,,,
130,05/02/2025 21:20:00,17.11,0.00,,,,
131,05/02/2025 21:30:00,16.90,0.00,,,,
132,05/02/2025 21:40:00,17.29,0.00,,,,
133,05/02/2025 21:50:00,17.76,0.00,,,,
134,05/02/2025 22:00:00,17.76,0.00,,,,
135,05/02/2025 22:10:00,16.99,0.00,,,,
136,05/02/2025 22:20:00,16.77,0.00,,,,
137,05/02/2025 22:30:00,16.17,0.00,,,,
138,05/02/2025 22:40:00,15.44,0.00,,,,
139,05/02/2025 22:50:00,15.10,0.00,,,,
140,05/02/2025 23:00:00,14.80,0.00,,,,
141,05/02/2025 23:10:00,15.23,0.00,,,,
142,05/02/2025 23:20:00,14.93,0.00,,,,
143,05/02/2025 23:30:00,14.45,0.00,,,,
144,05/02/2025 23:40:00,13.94,0.00,,,,
145,05/02/2025 23:50:00,13.47,0.00,,,,
146,05/03/2025 00:00:00,13.17,0.00,,,,
147,05/03/2025 00:10:00,13.04,0.00,,,,
148,05/03/2025 00:20:00,12.82,0.00,,,,
149,05/03/2025 00:30:00,12.70,0.00,,,,
150,05/03/2025 00:40:00,12.27,0.00,,,,
151,05/03/2025 00:50:00,12.05,0.00,,,,
152,05/03/2025 01:00:00,11.84,0.00,,,,
153,05/03/2025 01:10:00,11.75,0.00,,,,
154,05/03/2025 01:20:00,11.32,0.00,,,,
155,05/03/2025 01:30:00,11.41,0.00,,,,
156,05/03/2025 01:40:00,11.37,0.00,,,,
157,05/03/2025 01:50:00,11.41,0.00,,,,
158,05/03/2025 02:00:00,11.49,0.00,,,,
159,05/03/2025 02:10:00,11.15,0.00,,,,
160,05/03/2025 02:20:00,10.98,0.00,,,,
161,05/03/2025 02:30:00,10.94,0.00,,,,
162,05/03/2025 02:40:00,10.81,0.00,,,,
163,05/03/2025 02:50:00,11.07,0.00,,,,
164,05/03/2025 03:00:00,11.19,0.00,,,,
165,05/03/2025 03:10:00,11.37,0.00,,,,
166,05/03/2025 03:20:00,11.45,0.00,,,,
167,05/03/2025 03:30:00,11.58,0.00,,,,
168,05/03/2025 03:40:00,11.67,0.41,,,,
169,05/03/2025 03:50:00,11.62,0.00,,,,
170,05/03/2025 04:00:00,11.58,0.00,,,,
171,05/03/2025 04:10:00,11.32,0.00,,,,
172,05/03/2025 04:20:00,11.07,0.00,,,,
173,05/03/2025 04:30:00,11.07,0.00,,,,
174,05/03/2025 04:40:00,11.11,0.00,,,,
175,05/03/2025 04:50:00,11.37,0.00,,,,
176,05/03/2025 05:00:00,11.41,0.00,,,,
177,05/03/2025 05:10:00,11.62,1.04,,,,
178,05/03/2025 05:20:00,11.49,4.19,,,,
179,05/03/2025 05:30:00,11.58,13.64,,,,
180,05/03/2025 05:40:00,11.71,48.92,,,,
181,05/03/2025 05:50:00,11.67,168.88,,,,
182,05/03/2025 06:00:00,11.58,329.44,,,,
183,05/03/2025 06:10:00,11.79,667.52,,,,
184,05/03/2025 06:20:00,12.05,600.48,,,,
185,05/03/2025 06:30:00,11.62,1022.72,,,,
186,05/03/2025 06:40:00,11.75,2289.28,,,,
187,05/03/2025 06:50:00,12.18,1837.44,,,,
188,05/03/2025 07:00:00,12.31,2413.44,,,,
189,05/03/2025 07:10:00,13.08,4289.28,,,,
190,05/03/2025 07:20:00,13.60,4154.88,,,,
191,05/03/2025 07:30:00,13.68,4555.52,,,,
192,05/03/2025 07:40:00,14.80,7726.08,,,,
193,05/03/2025 07:50:00,14.28,5122.56,,,,
194,05/03/2025 08:00:00,15.06,6999.04,,,,
195,05/03/2025 08:10:00,15.78,7841.28,,,,
196,05/03/2025 08:20:00,16.39,10257.92,,,,
197,05/03/2025 08:30:00,15.61,5245.44,,,,
198,05/03/2025 08:40:00,15.57,8284.16,,,,
199,05/03/2025 08:50:00,15.87,7336.96,,,,
200,05/03/2025 09:00:00,16.47,10472.96,,,,
201,05/03/2025 09:10:00,16.94,12830.72,,,,
202,05/03/2025 09:20:00,18.10,10298.88,,,,
203,05/03/2025 09:30:00,17.67,12528.64,,,,
204,05/03/2025 09:40:00,18.44,13941.76,,,,
205,05/03/2025 09:50:00,18.23,13409.28,,,,
206,05/03/2025 10:00:00,19.30,13905.92,,,,
207,05/03/2025 10:10:00,18.62,14510.08,,,,
208,05/03/2025 10:20:00,18.87,15697.92,,,,
209,05/03/2025 10:30:00,19.99,16573.44,,,,
210,05/03/2025 10:40:00,19.65,11438.08,,,,
211,05/03/2025 10:50:00,18.57,11740.16,,,,
212,05/03/2025 11:00:00,17.84,10849.28,,,,
213,05/03/2025 11:10:00,18.44,16378.88,,,,
214,05/03/2025 11:20:00,17.72,7114.24,,,,
215,05/03/2025 11:30:00,16.34,6197.76,,,,
216,05/03/2025 11:40:00,15.78,4295.68,,,,
217,05/03/2025 11:50:00,15.18,2997.76,,,,
218,05/03/2025 12:00:00,15.18,4125.44,,,,
219,05/03/2025 12:10:00,15.27,3170.56,,,,
220,05/03/2025 12:20:00,15.18,2886.40,,,,
221,05/03/2025 12:30:00,15.06,3383.04,,,,
222,05/03/2025 12:40:00,15.70,7336.96,,,,
223,05/03/2025 12:50:00,16.13,4887.04,,,,
224,05/03/2025 13:00:00,16.21,7390.72,,,,
225,05/03/2025 13:10:00,17.67,9989.12,,,,
226,05/03/2025 13:20:00,18.83,10915.84,,,,
227,05/03/2025 13:30:00,19.17,8358.40,,,,
228,05/03/2025 13:40:00,18.66,5921.28,,,,
229,05/03/2025 13:50:00,18.87,9620.48,,,,
230,05/03/2025 14:00:00,19.56,12979.20,,,,
231,05/03/2025 14:10:00,21.23,18027.52,,,,
232,05/03/2025 14:20:00,21.96,15170.56,,,,
233,05/03/2025 14:30:00,20.55,10083.84,,,,
234,05/03/2025 14:40:00,19.39,11361.28,,,,
235,05/03/2025 14:50:00,21.75,17751.04,,,,
236,05/03/2025 15:00:00,22.73,18160.64,,,,
237,05/03/2025 15:10:00,22.91,17469.44,,,,
238,05/03/2025 15:20:00,21.49,11586.56,,,,
239,05/03/2025 15:30:00,21.06,10608.64,,,,
240,05/03/2025 15:40:00,19.99,10485.76,,,,
241,05/03/2025 15:50:00,21.02,15216.64,,,,
242,05/03/2025 16:00:00,21.75,10327.04,,,,
243,05/03/2025 16:10:00,20.42,9512.96,,,,
244,05/03/2025 16:20:00,20.25,9290.24,,,,
245,05/03/2025 16:30:00,20.29,9756.16,,,,
246,05/03/2025 16:40:00,20.33,7751.68,,,,
247,05/03/2025 16:50:00,19.73,8975.36,,,,
248,05/03/2025 17:00:00,20.76,7088.64,,,,
249,05/03/2025 17:10:00,19.77,7680.00,,,,
250,05/03/2025 17:20:00,20.25,9794.56,,,,
251,05/03/2025 17:30:00,20.93,8048.64,,,,
252,05/03/2025 17:40:00,21.06,8995.84,,,,
253,05/03/2025 17:50:00,21.06,8962.56,,,,
254,05/03/2025 18:00:00,20.20,7644.16,,,,
255,05/03/2025 18:10:00,18.87,4165.12,,,,
256,05/03/2025 18:20:00,18.40,3338.24,,,,
257,05/03/2025 18:30:00,17.76,3705.60,,,,
258,05/03/2025 18:40:00,18.32,4928.00,,,,
259,05/03/2025 18:50:00,17.89,3271.68,,,,
260,05/03/2025 19:00:00,17.29,2574.72,,,,
261,05/03/2025 19:10:00,17.07,2311.04,,,,
262,05/03/2025 19:20:00,16.99,1877.76,,,,
263,05/03/2025 19:30:00,16.73,584.48,,,,
264,05/03/2025 19:40:00,16.39,451.84,,,,
265,05/03/2025 19:50:00,16.34,16.40,,,,
266,05/03/2025 20:00:00,13.30,32.91,,,,
267,05/03/2025 20:10:00,11.79,32.07,,,,
268,05/03/2025 20:20:00,11.58,25.72,,,,
269,05/03/2025 20:30:00,11.58,4.19,,,,
270,05/03/2025 20:40:00,11.62,1.88,,,,
271,05/03/2025 20:50:00,11.62,0.62,,,,
272,05/03/2025 21:00:00,11.58,0.20,,,,
273,05/03/2025 21:10:00,11.54,0.00,,,,
274,05/03/2025 21:20:00,11.54,0.00,,,,
275,05/03/2025 21:30:00,11.54,0.00,,,,
276,05/03/2025 21:40:00,11.54,0.00,,,,
277,05/03/2025 21:50:00,11.41,0.00,,,,
278,05/03/2025 22:00:00,11.28,0.00,,,,
279,05/03/2025 22:10:00,11.19,0.00,,,,
280,05/03/2025 22:20:00,11.02,0.00,,,,
281,05/03/2025 22:30:00,11.02,0.00,,,,
282,05/03/2025 22:40:00,11.02,0.00,,,,
283,05/03/2025 22:50:00,10.89,0.00,,,,
284,05/03/2025 23:00:00,10.89,0.00,,,,
285,05/03/2025 23:10:00,10.64,0.00,,,,
286,05/03/2025 23:20:00,10.38,0.00,,,,
287,05/03/2025 23:30:00,10.42,0.00,,,,
288,05/03/2025 23:40:00,10.59,0.00,,,,
289,05/03/2025 23:50:00,10.77,0.00,,,,
290,05/04/2025 00:00:00,10.94,0.00,,,,
291,05/04/2025 00:10:00,11.15,0.00,,,,
292,05/04/2025 00:20:00,11.07,0.00,,,,
293,05/04/2025 00:30:00,10.98,0.00,,,,
294,05/04/2025 00:40:00,11.07,0.00,,,,
295,05/04/2025 00:50:00,10.94,0.00,,,,
296,05/04/2025 01:00:00,10.81,0.00,,,,
297,05/04/2025 01:10:00,10.59,0.00,,,,
298,05/04/2025 01:20:00,10.51,0.00,,,,
299,05/04/2025 01:30:00,10.29,0.00,,,,
300,05/04/2025 01:40:00,10.25,0.00,,,,
301,05/04/2025 01:50:00,10.29,0.00,,,,
302,05/04/2025 02:00:00,10.29,0.00,,,,
303,05/04/2025 02:10:00,10.04,0.00,,,,
304,05/04/2025 02:20:00,9.65,0.00,,,,
305,05/04/2025 02:30:00,9.44,0.00,,,,
306,05/04/2025 02:40:00,9.18,0.00,,,,
307,05/04/2025 02:50:00,9.05,0.00,,,,
308,05/04/2025 03:00:00,8.92,0.00,,,,
309,05/04/2025 03:10:00,8.66,0.00,,,,
310,05/04/2025 03:20:00,8.58,0.00,,,,
311,05/04/2025 03:30:00,8.58,0.00,,,,
312,05/04/2025 03:40:00,8.49,0.00,,,,
313,05/04/2025 03:50:00,8.41,0.00,,,,
314,05/04/2025 04:00:00,8.49,0.00,,,,
315,05/04/2025 04:10:00,8.53,0.00,,,,
316,05/04/2025 04:20:00,8.62,0.00,,,,
317,05/04/2025 04:30:00,8.49,0.00,,,,
318,05/04/2025 04:40:00,8.41,0.00,,,,
319,05/04/2025 04:50:00,7.81,0.00,,,,
320,05/04/2025 05:00:00,6.95,0.41,,,,
321,05/04/2025 05:10:00,6.39,2.72,,,,
322,05/04/2025 05:20:00,6.05,13.22,,,,
323,05/04/2025 05:30:00,5.83,58.74,,,,
324,05/04/2025 05:40:00,5.49,167.28,,,,
325,05/04/2025 05:50:00,5.23,335.52,,,,
326,05/04/2025 06:00:00,5.23,543.68,,,,
327,05/04/2025 06:10:00,5.75,965.76,,,,
328,05/04/2025 06:20:00,5.83,967.36,,,,
329,05/04/2025 06:30:00,5.92,1041.28,,,,
330,05/04/2025 06:40:00,5.83,1893.12,,,,
331,05/04/2025 06:50:00,5.79,2208.64,,,,
332,05/04/2025 07:00:00,5.92,3276.80,,,,
333,05/04/2025 07:10:00,6.22,3418.88,,,,
334,05/04/2025 07:20:00,5.75,2591.36,,,,
335,05/04/2025 07:30:00,6.30,5286.40,,,,
336,05/04/2025 07:40:00,6.26,2947.84,,,,
337,05/04/2025 07:50:00,6.35,4601.60,,,,
338,05/04/2025 08:00:00,7.50,5975.04,,,,
339,05/04/2025 08:10:00,7.33,6824.96,,,,
340,05/04/2025 08:20:00,7.76,7088.64,,,,
341,05/04/2025 08:30:00,10.21,18959.36,,,,
342,05/04/2025 08:40:00,9.14,10050.56,,,,
343,05/04/2025 08:50:00,9.69,10306.56,,,,
344,05/04/2025 09:00:00,8.32,5122.56,,,,
345,05/04/2025 09:10:00,8.45,7047.68,,,,
346,05/04/2025 09:20:00,8.79,10352.64,,,,
347,05/04/2025 09:30:00,8.92,8015.36,,,,
348,05/04/2025 09:40:00,8.53,7470.08,,,,
349,05/04/2025 09:50:00,9.86,9720.32,,,,
350,05/04/2025 10:00:00,8.83,6730.24,,,,
351,05/04/2025 10:10:00,8.83,9331.20,,,,
352,05/04/2025 10:20:00,9.65,12897.28,,,,
353,05/04/2025 10:30:00,10.34,13086.72,,,,
354,05/04/2025 10:40:00,10.29,14074.88,,,,
355,05/04/2025 10:50:00,11.19,14074.88,,,,
356,05/04/2025 11:00:00,10.85,13900.80,,,,
357,05/04/2025 11:10:00,11.02,13711.36,,,,
358,05/04/2025 11:20:00,11.45,16721.92,,,,
359,05/04/2025 11:30:00,11.28,12779.52,,,,
360,05/04/2025 11:40:00,12.22,16491.52,,,,
361,05/04/2025 11:50:00,12.44,13900.80,,,,
362,05/04/2025 12:00:00,10.81,8752.64,,,,
363,05/04/2025 12:10:00,11.02,9815.04,,,,
364,05/04/2025 12:20:00,12.82,38635.52,,,,
365,05/04/2025 12:30:00,14.93,10654.72,,,,
366,05/04/2025 12:40:00,12.14,10406.40,,,,
367,05/04/2025 12:50:00,13.12,14448.64,,,,
368,05/04/2025 13:00:00,12.82,12692.48,,,,
369,05/04/2025 13:10:00,12.95,14888.96,,,,
370,05/04/2025 13:20:00,14.54,17085.44,,,,
371,05/04/2025 13:30:00,14.88,15708.16,,,,
372,05/04/2025 13:40:00,15.57,17653.76,,,,
373,05/04/2025 13:50:00,14.84,14054.40,,,,
374,05/04/2025 14:00:00,14.45,16742.40,,,,
375,05/04/2025 14:10:00,13.55,9520.64,,,,
376,05/04/2025 14:20:00,13.55,21708.80,,,,
377,05/04/2025 14:30:00,14.45,10204.16,,,,
378,05/04/2025 14:40:00,15.74,14801.92,,,,
379,05/04/2025 14:50:00,14.75,10552.32,,,,
380,05/04/2025 15:00:00,14.15,8821.76,,,,
381,05/04/2025 15:10:00,13.64,7987.20,,,,
382,05/04/2025 15:20:00,13.30,8739.84,,,,
383,05/04/2025 15:30:00,15.53,17751.04,,,,
384,05/04/2025 15:40:00,15.23,12835.84,,,,
385,05/04/2025 15:50:00,13.94,6458.88,,,,
386,05/04/2025 16:00:00,13.81,7900.16,,,,
387,05/04/2025 16:10:00,13.21,7142.40,,,,
388,05/04/2025 16:20:00,13.64,9687.04,,,,
389,05/04/2025 16:30:00,14.67,9600.00,,,,
390,05/04/2025 16:40:00,13.60,7618.56,,,,
391,05/04/2025 16:50:00,13.34,6361.60,,,,
392,05/04/2025 17:00:00,12.61,5002.24,,,,
393,05/04/2025 17:10:00,12.31,7267.84,,,,
394,05/04/2025 17:20:00,12.44,5568.00,,,,
395,05/04/2025 17:30:00,12.57,5200.64,,,,
396,05/04/2025 17:40:00,11.41,3778.56,,,,
397,05/04/2025 17:50:00,10.81,3530.24,,,,
398,05/04/2025 18:00:00,11.54,4460.80,,,,
399,05/04/2025 18:10:00,11.67,3283.20,,,,
400,05/04/2025 18:20:00,11.67,3799.04,,,,
