#,Date-Time (CEST/CET),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,05/02/2025 00:00:00,10.42,0.00,,,,
2,05/02/2025 00:10:00,9.99,0.00,,,,
3,05/02/2025 00:20:00,9.95,0.00,,,,
4,05/02/2025 00:30:00,9.74,0.00,,,,
5,05/02/2025 00:40:00,9.65,0.00,,,,
6,05/02/2025 00:50:00,9.65,0.00,,,,
7,05/02/2025 01:00:00,9.78,0.00,,,,
8,05/02/2025 01:10:00,9.78,0.00,,,,
9,05/02/2025 01:20:00,9.78,0.00,,,,
10,05/02/2025 01:30:00,9.65,0.00,,,,
11,05/02/2025 01:40:00,9.78,0.00,,,,
12,05/02/2025 01:50:00,9.61,0.00,,,,
13,05/02/2025 02:00:00,9.78,0.00,,,,
14,05/02/2025 02:10:00,9.65,0.00,,,,
15,05/02/2025 02:20:00,9.82,0.00,,,,
16,05/02/2025 02:30:00,9.86,0.00,,,,
17,05/02/2025 02:40:00,9.61,0.00,,,,
18,05/02/2025 02:50:00,9.56,0.00,,,,
19,05/02/2025 03:00:00,9.56,0.00,,,,
20,05/02/2025 03:10:00,9.52,0.00,,,,
21,05/02/2025 03:20:00,9.26,0.00,,,,
22,05/02/2025 03:30:00,9.18,0.00,,,,
23,05/02/2025 03:40:00,9.44,0.00,,,,
24,05/02/2025 03:50:00,9.69,0.00,,,,
25,05/02/2025 04:00:00,10.04,0.00,,,,
26,05/02/2025 04:10:00,10.21,0.00,,,,
27,05/02/2025 04:20:00,10.08,0.00,,,,
28,05/02/2025 04:30:00,9.56,0.00,,,,
29,05/02/2025 04:40:00,9.31,0.00,,,,
30,05/02/2025 04:50:00,9.48,0.00,,,,
31,05/02/2025 05:00:00,9.44,0.00,,,,
32,05/02/2025 05:10:00,9.39,1.88,,,,
33,05/02/2025 05:20:00,9.35,9.66,,,,
34,05/02/2025 05:30:00,9.35,44.16,,,,
35,05/02/2025 05:40:00,9.48,152.36,,,,
36,05/02/2025 05:50:00,9.39,382.88,,,,
37,05/02/2025 06:00:00,9.31,801.92,,,,
38,05/02/2025 06:10:00,9.65,1514.88,,,,
39,05/02/2025 06:20:00,10.08,2175.36,,,,
40,05/02/2025 06:30:00,10.21,2385.92,,,,
