#,Date-Time (CEST/CET),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,05/02/2025 00:00:00,11.07,0.00,,,,
2,05/02/2025 00:10:00,11.45,0.00,,,,
3,05/02/2025 00:20:00,11.58,0.00,,,,
4,05/02/2025 00:30:00,11.54,0.00,,,,
5,05/02/2025 00:40:00,11.54,0.00,,,,
6,05/02/2025 00:50:00,11.67,0.00,,,,
7,05/02/2025 01:00:00,11.62,0.00,,,,
8,05/02/2025 01:10:00,11.54,0.00,,,,
9,05/02/2025 01:20:00,11.84,0.00,,,,
10,05/02/2025 01:30:00,12.01,0.00,,,,
11,05/02/2025 01:40:00,11.88,0.00,,,,
12,05/02/2025 01:50:00,11.75,0.00,,,,
13,05/02/2025 02:00:00,11.58,0.00,,,,
14,05/02/2025 02:10:00,11.58,0.00,,,,
15,05/02/2025 02:20:00,11.67,0.00,,,,
16,05/02/2025 02:30:00,11.58,0.00,,,,
17,05/02/2025 02:40:00,11.37,0.00,,,,
18,05/02/2025 02:50:00,11.19,0.00,,,,
19,05/02/2025 03:00:00,11.11,0.00,,,,
20,05/02/2025 03:10:00,10.94,0.00,,,,
21,05/02/2025 03:20:00,10.77,0.00,,,,
22,05/02/2025 03:30:00,10.81,0.00,,,,
23,05/02/2025 03:40:00,10.85,0.00,,,,
24,05/02/2025 03:50:00,10.94,0.00,,,,
25,05/02/2025 04:00:00,11.24,0.00,,,,
26,05/02/2025 04:10:00,11.37,0.20,,,,
27,05/02/2025 04:20:00,11.58,0.00,,,,
28,05/02/2025 04:30:00,11.28,0.00,,,,
29,05/02/2025 04:40:00,11.19,0.00,,,,
30,05/02/2025 04:50:00,11.37,0.00,,,,
31,05/02/2025 05:00:00,11.37,0.20,,,,
32,05/02/2025 05:10:00,11.19,1.86,,,,
33,05/02/2025 05:20:00,11.11,9.97,,,,
34,05/02/2025 05:30:00,11.19,47.46,,,,
35,05/02/2025 05:40:00,11.02,152.76,,,,
36,05/02/2025 05:50:00,10.98,357.92,,,,
37,05/02/2025 06:00:00,11.02,707.52,,,,
38,05/02/2025 06:10:00,11.11,1082.88,,,,
39,05/02/2025 06:20:00,11.49,2064.64,,,,
40,05/02/2025 06:30:00,12.10,1950.08,,,,
41,05/02/2025 06:40:00,12.01,2478.72,,,,
42,05/02/2025 06:50:00,12.48,2997.76,,,,
43,05/02/2025 07:00:00,12.52,3731.20,,,,
44,05/02/2025 07:10:00,13.55,5021.44,,,,
45,05/02/2025 07:20:00,14.63,6407.68,,,,
46,05/02/2025 07:30:00,14.93,5729.28,,,,
47,05/02/2025 07:40:00,15.40,7659.52,,,,
48,05/02/2025 07:50:00,15.70,6341.12,,,,
49,05/02/2025 08:00:00,15.83,7825.92,,,,
50,05/02/2025 08:10:00,16.60,7349.76,,,,
51,05/02/2025 08:20:00,16.69,6269.44,,,,
52,05/02/2025 08:30:00,17.07,7004.16,,,,
53,05/02/2025 08:40:00,19.35,13004.80,,,,
54,05/02/2025 08:50:00,21.49,17382.40,,,,
55,05/02/2025 09:00:00,22.31,20049.92,,,,
56,05/02/2025 09:10:00,22.86,16097.28,,,,
57,05/02/2025 09:20:00,24.71,17259.52,,,,
58,05/02/2025 09:30:00,25.57,12692.48,,,,
59,05/02/2025 09:40:00,24.24,8729.60,,,,
60,05/02/2025 09:50:00,22.18,6543.36,,,,
61,05/02/2025 10:00:00,26.60,51466.24,,,,
62,05/02/2025 10:10:00,37.15,53514.24,,,,
63,05/02/2025 10:20:00,39.21,55336.96,,,,
64,05/02/2025 10:30:00,40.02,30955.52,,,,
65,05/02/2025 10:40:00,37.75,59269.12,,,,
66,05/02/2025 10:50:00,41.01,61358.08,,,,
67,05/02/2025 11:00:00,41.35,63262.72,,,,
68,05/02/2025 11:10:00,42.77,65003.52,,,,
69,05/02/2025 11:20:00,43.33,67604.48,,,,
