#,Date-Time (CEST/CET),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,End of File
1,05/08/2025 00:00:00,6.00,59.10,-1.38,,
2,05/08/2025 00:10:00,5.92,58.85,-1.51,,
3,05/08/2025 00:20:00,5.77,60.29,-1.32,,
4,05/08/2025 00:30:00,5.58,60.78,-1.39,,
5,05/08/2025 00:40:00,5.37,61.46,-1.44,,
6,05/08/2025 00:50:00,5.23,66.38,-0.52,,
7,05/08/2025 01:00:00,5.16,65.48,-0.77,,
8,05/08/2025 01:10:00,5.05,66.39,-0.68,,
9,05/08/2025 01:20:00,4.92,68.06,-0.47,,
10,05/08/2025 01:30:00,4.78,68.71,-0.48,,
11,05/08/2025 01:40:00,4.68,68.89,-0.54,,
12,05/08/2025 01:50:00,4.52,68.59,-0.75,,
13,05/08/2025 02:00:00,4.41,68.58,-0.86,,
14,05/08/2025 02:10:00,4.25,68.63,-1.00,,
15,05/08/2025 02:20:00,4.12,70.33,-0.79,,
16,05/08/2025 02:30:00,3.98,71.11,-0.77,,
17,05/08/2025 02:40:00,3.82,71.89,-0.78,,
18,05/08/2025 02:50:00,3.55,72.71,-0.88,,
19,05/08/2025 03:00:00,3.35,73.68,-0.89,,
20,05/08/2025 03:10:00,3.23,75.05,-0.77,,
21,05/08/2025 03:20:00,3.12,75.27,-0.83,,
22,05/08/2025 03:30:00,2.97,76.08,-0.83,,
23,05/08/2025 03:40:00,2.80,76.31,-0.95,,
24,05/08/2025 03:50:00,2.62,76.91,-1.02,,
25,05/08/2025 04:00:00,2.48,79.15,-0.76,,
26,05/08/2025 04:10:00,2.54,78.95,-0.73,,
27,05/08/2025 04:20:00,2.63,78.38,-0.75,,
28,05/08/2025 04:30:00,2.63,78.41,-0.74,,
29,05/08/2025 04:40:00,2.55,78.86,-0.74,,
30,05/08/2025 04:50:00,2.52,79.84,-0.60,,
31,05/08/2025 05:00:00,2.41,79.61,-0.75,,
32,05/08/2025 05:10:00,2.38,80.64,-0.60,,
33,05/08/2025 05:20:00,2.28,80.38,-0.75,,
34,05/08/2025 05:30:00,2.21,79.74,-0.93,,
35,05/08/2025 05:40:00,2.16,81.14,-0.74,,
36,05/08/2025 05:50:00,2.10,81.38,-0.75,,
37,05/08/2025 06:00:00,2.15,83.86,-0.30,,
38,05/08/2025 06:10:00,2.27,85.18,0.03,,
39,05/08/2025 06:20:00,2.51,83.28,-0.03,,
40,05/08/2025 06:30:00,2.83,81.26,-0.06,,
41,05/08/2025 06:40:00,3.09,82.07,0.33,,
42,05/08/2025 06:50:00,3.38,79.95,0.25,,
43,05/08/2025 07:00:00,3.65,79.34,0.42,,
44,05/08/2025 07:10:00,3.92,77.51,0.35,,
45,05/08/2025 07:20:00,4.24,75.51,0.30,,
46,05/08/2025 07:30:00,4.62,71.24,-0.14,,
47,05/08/2025 07:40:00,4.94,70.91,0.11,,
48,05/08/2025 07:50:00,5.22,68.70,-0.06,,
49,05/08/2025 08:00:00,5.48,67.68,-0.02,,
50,05/08/2025 08:10:00,5.77,68.52,0.44,,
51,05/08/2025 08:20:00,6.08,66.24,0.27,,
52,05/08/2025 08:30:00,6.47,64.12,0.18,,
53,05/08/2025 08:40:00,6.96,61.63,0.11,,
54,05/08/2025 08:50:00,7.29,62.06,0.51,,
55,05/08/2025 09:00:00,7.80,59.12,0.33,,
56,05/08/2025 09:10:00,8.37,56.04,0.12,,
57,05/08/2025 09:20:00,8.54,54.86,-0.02,,
58,05/08/2025 09:30:00,8.79,53.49,-0.13,,
59,05/08/2025 09:40:00,9.06,50.58,-0.64,,
60,05/08/2025 09:50:00,9.40,48.68,-0.85,,
61,05/08/2025 10:00:00,9.60,47.91,-0.89,,
62,05/08/2025 10:10:00,9.83,45.47,-1.39,,
63,05/08/2025 10:20:00,10.05,43.18,-1.89,,
64,05/08/2025 10:30:00,10.69,40.79,-2.09,,
65,05/08/2025 10:40:00,11.14,40.22,-1.87,,
66,05/08/2025 10:50:00,11.77,39.26,-1.63,,
67,05/08/2025 11:00:00,11.77,39.81,-1.44,,
68,05/08/2025 11:10:00,11.97,40.19,-1.13,,
69,05/08/2025 11:20:00,12.09,42.06,-0.40,,
70,05/08/2025 11:30:00,12.26,38.51,-1.46,,
71,05/08/2025 11:40:00,12.11,38.66,-1.53,,
72,05/08/2025 11:50:00,12.36,38.57,-1.35,,
73,05/08/2025 12:00:00,12.72,39.41,-0.73,,
74,05/08/2025 12:10:00,13.30,37.95,-0.72,,
75,05/08/2025 12:20:00,13.37,37.50,-0.82,,
76,05/08/2025 12:30:00,13.22,37.95,-0.79,,
77,05/08/2025 12:40:00,13.07,37.25,-1.18,,
78,05/08/2025 12:50:00,13.34,38.34,-0.55,,
79,05/08/2025 13:00:00,12.94,36.69,-1.51,,
80,05/08/2025 13:10:00,12.66,40.07,-0.56,,
81,05/08/2025 13:20:00,13.10,38.46,-0.72,,
82,05/08/2025 13:30:00,12.47,37.41,-1.66,,
83,05/08/2025 13:40:00,12.55,37.03,-1.72,,
84,05/08/2025 13:50:00,12.42,38.19,-1.42,,
85,05/08/2025 14:00:00,12.97,35.49,-1.93,,
86,05/08/2025 14:10:00,13.31,34.68,-1.94,,
87,05/08/2025 14:20:00,14.20,36.25,-0.55,,
88,05/08/2025 14:30:00,14.48,35.96,-0.41,,
89,05/08/2025 14:40:00,14.64,32.93,-1.47,,
90,05/08/2025 14:50:00,14.31,34.20,-1.25,,
91,05/08/2025 15:00:00,14.44,34.10,-1.18,,
92,05/08/2025 15:10:00,13.90,33.55,-1.87,,
93,05/08/2025 15:20:00,13.76,34.49,-1.62,,
94,05/08/2025 15:30:00,13.62,35.35,-1.41,,
95,05/08/2025 15:40:00,13.75,35.08,-1.40,,
96,05/08/2025 15:50:00,13.91,32.17,-2.43,,
97,05/08/2025 16:00:00,13.77,34.26,-1.70,,
98,05/08/2025 16:10:00,13.36,35.31,-1.65,,
99,05/08/2025 16:20:00,12.71,36.80,-1.67,,
100,05/08/2025 16:30:00,12.51,37.50,-1.59,,
101,05/08/2025 16:40:00,12.49,36.45,-1.99,,
102,05/08/2025 16:50:00,12.39,36.23,-2.16,,
103,05/08/2025 17:00:00,12.41,37.92,-1.53,,
104,05/08/2025 17:10:00,12.69,38.07,-1.22,,
105,05/08/2025 17:20:00,12.32,37.35,-1.82,,
106,05/08/2025 17:30:00,12.09,38.17,-1.72,,
107,05/08/2025 17:40:00,12.04,36.48,-2.38,,
108,05/08/2025 17:50:00,11.85,37.04,-2.34,,
109,05/08/2025 18:00:00,12.05,39.77,-1.20,,
110,05/08/2025 18:10:00,12.02,38.46,-1.68,,
111,05/08/2025 18:20:00,11.84,37.53,-2.18,,
112,05/08/2025 18:30:00,11.86,37.00,-2.35,,
113,05/08/2025 18:40:00,11.58,36.88,-2.65,,
114,05/08/2025 18:50:00,11.37,38.97,-2.09,,
115,05/08/2025 19:00:00,11.17,38.84,-2.31,,
116,05/08/2025 19:10:00,11.01,39.14,-2.35,,
117,05/08/2025 19:20:00,10.81,40.24,-2.16,,
118,05/08/2025 19:30:00,10.61,40.07,-2.40,,
119,05/08/2025 19:40:00,10.41,40.78,-2.34,,
120,05/08/2025 19:50:00,10.22,42.04,-2.10,,
121,05/08/2025 20:00:00,9.98,44.92,-1.42,,
122,05/08/2025 20:10:00,9.71,43.91,-1.97,,
123,05/08/2025 20:20:00,9.39,47.93,-1.07,,
124,05/08/2025 20:30:00,9.05,49.01,-1.09,,
125,05/08/2025 20:40:00,8.69,49.09,-1.39,,
126,05/08/2025 20:50:00,8.18,52.10,-1.06,,
127,05/08/2025 21:00:00,7.61,53.83,-1.14,,
128,05/08/2025 21:10:00,7.08,57.69,-0.69,,
129,05/08/2025 21:20:00,6.58,57.22,-1.27,,
130,05/08/2025 21:30:00,6.13,59.59,-1.14,,
131,05/08/2025 21:40:00,5.76,59.00,-1.62,,
132,05/08/2025 21:50:00,5.54,59.54,-1.71,,
133,05/08/2025 22:00:00,5.32,62.00,-1.36,,
134,05/08/2025 22:10:00,5.13,62.30,-1.48,,
135,05/08/2025 22:20:00,5.15,62.98,-1.31,,
136,05/08/2025 22:30:00,4.92,63.38,-1.44,,
137,05/08/2025 22:40:00,4.78,65.01,-1.23,,
138,05/08/2025 22:50:00,4.69,62.92,-1.77,,
139,05/08/2025 23:00:00,4.72,62.85,-1.75,,
140,05/08/2025 23:10:00,4.59,63.86,-1.65,,
141,05/08/2025 23:20:00,4.56,63.10,-1.85,,
142,05/08/2025 23:30:00,4.60,63.23,-1.78,,
143,05/08/2025 23:40:00,4.62,63.62,-1.68,,
144,05/08/2025 23:50:00,4.61,64.45,-1.51,,
145,05/09/2025 00:00:00,4.57,63.00,-1.86,,
146,05/09/2025 00:10:00,4.47,65.08,-1.52,,
147,05/09/2025 00:20:00,4.27,66.56,-1.40,,
148,05/09/2025 00:30:00,4.05,65.90,-1.74,,
149,05/09/2025 00:40:00,3.85,65.67,-1.98,,
150,05/09/2025 00:50:00,3.63,70.94,-1.14,,
151,05/09/2025 01:00:00,3.44,70.39,-1.44,,
152,05/09/2025 01:10:00,3.30,70.45,-1.55,,
153,05/09/2025 01:20:00,3.29,70.54,-1.55,,
154,05/09/2025 01:30:00,3.23,70.42,-1.63,,
155,05/09/2025 01:40:00,3.09,70.85,-1.68,,
156,05/09/2025 01:50:00,3.09,71.01,-1.65,,
157,05/09/2025 02:00:00,3.04,70.18,-1.86,,
158,05/09/2025 02:10:00,3.01,70.06,-1.91,,
159,05/09/2025 02:20:00,2.89,72.14,-1.63,,
160,05/09/2025 02:30:00,2.64,72.51,-1.80,,
161,05/09/2025 02:40:00,2.47,73.11,-1.85,,
162,05/09/2025 02:50:00,2.51,74.28,-1.60,,
163,05/09/2025 03:00:00,2.42,74.29,-1.68,,
164,05/09/2025 03:10:00,2.41,75.87,-1.40,,
