#,Date-Time (CEST),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,05/02/2025 00:00:00,10.59,0.00,,,,
2,05/02/2025 00:10:00,10.04,0.00,,,,
3,05/02/2025 00:20:00,9.82,0.00,,,,
4,05/02/2025 00:30:00,9.82,0.00,,,,
5,05/02/2025 00:40:00,9.82,0.00,,,,
6,05/02/2025 00:50:00,10.08,0.00,,,,
7,05/02/2025 01:00:00,10.16,0.00,,,,
8,05/02/2025 01:10:00,9.99,0.00,,,,
9,05/02/2025 01:20:00,10.04,0.00,,,,
10,05/02/2025 01:30:00,10.12,0.00,,,,
11,05/02/2025 01:40:00,10.08,0.00,,,,
12,05/02/2025 01:50:00,10.12,0.00,,,,
13,05/02/2025 02:00:00,10.04,0.00,,,,
14,05/02/2025 02:10:00,9.61,0.00,,,,
15,05/02/2025 02:20:00,10.04,0.00,,,,
16,05/02/2025 02:30:00,9.91,0.00,,,,
17,05/02/2025 02:40:00,9.61,0.00,,,,
18,05/02/2025 02:50:00,9.65,0.00,,,,
19,05/02/2025 03:00:00,9.48,0.00,,,,
20,05/02/2025 03:10:00,9.48,0.00,,,,
21,05/02/2025 03:20:00,9.69,0.00,,,,
22,05/02/2025 03:30:00,9.74,0.00,,,,
23,05/02/2025 03:40:00,9.61,0.00,,,,
24,05/02/2025 03:50:00,9.74,0.00,,,,
25,05/02/2025 04:00:00,10.12,0.00,,,,
26,05/02/2025 04:10:00,10.34,0.00,,,,
27,05/02/2025 04:20:00,10.25,0.00,,,,
28,05/02/2025 04:30:00,9.99,0.00,,,,
29,05/02/2025 04:40:00,9.91,0.00,,,,
30,05/02/2025 04:50:00,10.16,0.00,,,,
31,05/02/2025 05:00:00,10.25,0.00,,,,
32,05/02/2025 05:10:00,10.12,1.04,,,,
33,05/02/2025 05:20:00,10.04,6.72,,,,
34,05/02/2025 05:30:00,10.29,32.46,,,,
35,05/02/2025 05:40:00,10.21,123.04,,,,
36,05/02/2025 05:50:00,10.12,300.96,,,,
37,05/02/2025 06:00:00,10.29,613.12,,,,
38,05/02/2025 06:10:00,10.34,1052.16,,,,
39,05/02/2025 06:20:00,10.25,1239.04,,,,
40,05/02/2025 06:30:00,10.12,1494.40,,,,
41,05/02/2025 06:40:00,10.51,2377.60,,,,
42,05/02/2025 06:50:00,10.59,2263.68,,,,
43,05/02/2025 07:00:00,11.24,3123.20,,,,
44,05/02/2025 07:10:00,11.67,3521.28,,,,
45,05/02/2025 07:20:00,12.48,3244.80,,,,
46,05/02/2025 07:30:00,12.70,4167.68,,,,
47,05/02/2025 07:40:00,13.08,3736.32,,,,
