#,Date-Time (CEST),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,05/02/2025 00:00:00,12.14,0.00,,,,
2,05/02/2025 00:10:00,12.35,0.00,,,,
3,05/02/2025 00:20:00,12.44,0.00,,,,
4,05/02/2025 00:30:00,12.57,0.00,,,,
5,05/02/2025 00:40:00,12.48,0.00,,,,
6,05/02/2025 00:50:00,12.61,0.00,,,,
7,05/02/2025 01:00:00,12.74,0.00,,,,
8,05/02/2025 01:10:00,12.95,0.00,,,,
9,05/02/2025 01:20:00,13.04,0.00,,,,
10,05/02/2025 01:30:00,13.00,0.00,,,,
11,05/02/2025 01:40:00,13.00,0.00,,,,
12,05/02/2025 01:50:00,12.91,0.00,,,,
13,05/02/2025 02:00:00,12.78,0.00,,,,
14,05/02/2025 02:10:00,12.65,0.00,,,,
15,05/02/2025 02:20:00,12.61,0.00,,,,
16,05/02/2025 02:30:00,12.52,0.00,,,,
17,05/02/2025 02:40:00,12.40,0.00,,,,
18,05/02/2025 02:50:00,12.27,0.00,,,,
19,05/02/2025 03:00:00,12.05,0.00,,,,
20,05/02/2025 03:10:00,12.10,0.00,,,,
21,05/02/2025 03:20:00,12.10,0.00,,,,
22,05/02/2025 03:30:00,12.01,0.00,,,,
23,05/02/2025 03:40:00,12.05,0.00,,,,
24,05/02/2025 03:50:00,12.10,0.00,,,,
25,05/02/2025 04:00:00,12.14,0.00,,,,
26,05/02/2025 04:10:00,12.22,0.20,,,,
27,05/02/2025 04:20:00,12.35,0.00,,,,
28,05/02/2025 04:30:00,12.14,0.00,,,,
29,05/02/2025 04:40:00,12.05,0.00,,,,
30,05/02/2025 04:50:00,12.10,0.00,,,,
31,05/02/2025 05:00:00,12.22,0.00,,,,
32,05/02/2025 05:10:00,12.05,1.42,,,,
33,05/02/2025 05:20:00,12.01,7.54,,,,
34,05/02/2025 05:30:00,11.97,36.79,,,,
35,05/02/2025 05:40:00,11.92,125.12,,,,
36,05/02/2025 05:50:00,11.75,298.64,,,,
37,05/02/2025 06:00:00,11.84,606.24,,,,
38,05/02/2025 06:10:00,11.97,939.84,,,,
39,05/02/2025 06:20:00,12.18,1619.84,,,,
40,05/02/2025 06:30:00,12.70,1648.64,,,,
41,05/02/2025 06:40:00,12.70,2182.40,,,,
42,05/02/2025 06:50:00,13.21,2833.92,,,,
43,05/02/2025 07:00:00,13.21,3239.68,,,,
44,05/02/2025 07:10:00,14.11,4615.68,,,,
45,05/02/2025 07:20:00,15.14,5795.84,,,,
46,05/02/2025 07:30:00,15.53,5260.80,,,,
47,05/02/2025 07:40:00,15.87,6720.00,,,,
48,05/02/2025 07:50:00,16.30,5885.44,,,,
49,05/02/2025 08:00:00,16.47,7872.00,,,,
50,05/02/2025 08:10:00,17.46,8097.28,,,,
51,05/02/2025 08:20:00,19.00,7324.16,,,,
52,05/02/2025 08:30:00,18.87,8709.12,,,,
53,05/02/2025 08:40:00,20.72,12364.80,,,,
54,05/02/2025 08:50:00,22.31,15400.96,,,,
55,05/02/2025 09:00:00,28.83,39833.60,,,,
56,05/02/2025 09:10:00,33.76,43315.20,,,,
57,05/02/2025 09:20:00,37.11,48906.24,,,,
58,05/02/2025 09:30:00,38.91,49889.28,,,,
59,05/02/2025 09:40:00,39.12,52039.68,,,,
60,05/02/2025 09:50:00,40.41,53760.00,,,,
61,05/02/2025 10:00:00,42.60,55910.40,,,,
62,05/02/2025 10:10:00,43.50,58019.84,,,,
63,05/02/2025 10:20:00,43.71,60006.40,,,,
64,05/02/2025 10:30:00,44.27,61952.00,,,,
65,05/02/2025 10:40:00,44.44,63754.24,,,,
66,05/02/2025 10:50:00,45.60,65781.76,,,,
67,05/02/2025 11:00:00,45.47,67788.80,,,,
68,05/02/2025 11:10:00,46.93,69447.68,,,,
69,05/02/2025 11:20:00,46.72,71741.44,,,,
70,05/02/2025 11:30:00,45.94,72335.36,,,,
71,05/02/2025 11:40:00,48.17,73625.60,,,,
72,05/02/2025 11:50:00,48.35,78049.28,,,,
73,05/02/2025 12:00:00,46.12,78397.44,,,,
74,05/02/2025 12:10:00,47.87,79872.00,,,,
75,05/02/2025 12:20:00,46.03,48496.64,,,,
76,05/02/2025 12:30:00,47.49,78028.80,,,,
77,05/02/2025 12:40:00,48.47,79482.88,,,,
78,05/02/2025 12:50:00,38.74,21964.80,,,,
79,05/02/2025 13:00:00,32.34,19824.64,,,,
80,05/02/2025 13:10:00,30.33,14673.92,,,,
81,05/02/2025 13:20:00,36.51,20157.44,,,,
82,05/02/2025 13:30:00,31.49,9003.52,,,,
83,05/02/2025 13:40:00,30.59,10127.36,,,,
84,05/02/2025 13:50:00,41.05,80629.76,,,,
85,05/02/2025 14:00:00,46.72,77598.72,,,,
86,05/02/2025 14:10:00,36.59,11668.48,,,,
87,05/02/2025 14:20:00,39.98,81264.64,,,,
88,05/02/2025 14:30:00,37.84,13619.20,,,,
89,05/02/2025 14:40:00,39.47,77230.08,,,,
90,05/02/2025 14:50:00,36.42,12846.08,,,,
91,05/02/2025 15:00:00,30.63,41758.72,,,,
92,05/02/2025 15:10:00,44.06,67522.56,,,,
