#,Date-Time (CEST/CET),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,End of File
1,05/02/2025 00:00:00,13.67,72.45,8.82,,
2,05/02/2025 00:10:00,13.49,74.08,8.98,,
3,05/02/2025 00:20:00,13.44,73.28,8.76,,
4,05/02/2025 00:30:00,13.40,72.86,8.65,,
5,05/02/2025 00:40:00,13.31,72.83,8.56,,
6,05/02/2025 00:50:00,13.21,72.66,8.42,,
7,05/02/2025 01:00:00,13.21,73.08,8.51,,
8,05/02/2025 01:10:00,13.47,72.70,8.68,,
9,05/02/2025 01:20:00,13.68,72.25,8.79,,
10,05/02/2025 01:30:00,13.77,71.55,8.73,,
11,05/02/2025 01:40:00,13.73,71.63,8.71,,
12,05/02/2025 01:50:00,13.66,71.84,8.68,,
13,05/02/2025 02:00:00,13.57,72.25,8.69,,
14,05/02/2025 02:10:00,13.42,72.42,8.57,,
15,05/02/2025 02:20:00,13.27,72.77,8.50,,
16,05/02/2025 02:30:00,13.12,73.43,8.49,,
17,05/02/2025 02:40:00,13.03,73.44,8.41,,
18,05/02/2025 02:50:00,12.95,73.61,8.36,,
19,05/02/2025 03:00:00,12.73,74.31,8.29,,
20,05/02/2025 03:10:00,12.66,73.86,8.14,,
21,05/02/2025 03:20:00,12.71,72.96,8.00,,
22,05/02/2025 03:30:00,12.74,72.76,7.99,,
23,05/02/2025 03:40:00,12.66,73.00,7.96,,
24,05/02/2025 03:50:00,12.63,73.14,7.96,,
25,05/02/2025 04:00:00,12.62,72.50,7.82,,
26,05/02/2025 04:10:00,12.62,73.25,7.97,,
27,05/02/2025 04:20:00,12.66,71.45,7.65,,
28,05/02/2025 04:30:00,12.73,70.54,7.53,,
29,05/02/2025 04:40:00,12.63,70.25,7.37,,
30,05/02/2025 04:50:00,12.59,70.65,7.41,,
31,05/02/2025 05:00:00,12.62,69.98,7.31,,
32,05/02/2025 05:10:00,12.55,71.49,7.55,,
33,05/02/2025 05:20:00,12.51,68.88,6.96,,
34,05/02/2025 05:30:00,12.45,71.35,7.42,,
35,05/02/2025 05:40:00,12.33,70.55,7.15,,
36,05/02/2025 05:50:00,12.26,71.30,7.23,,
37,05/02/2025 06:00:00,12.27,70.33,7.04,,
38,05/02/2025 06:10:00,12.37,70.24,7.12,,
39,05/02/2025 06:20:00,12.39,69.00,6.88,,
40,05/02/2025 06:30:00,12.55,69.32,7.09,,
41,05/02/2025 06:40:00,12.73,68.84,7.16,,
42,05/02/2025 06:50:00,12.88,70.95,7.75,,
43,05/02/2025 07:00:00,12.86,70.86,7.71,,
44,05/02/2025 07:10:00,12.99,72.62,8.20,,
45,05/02/2025 07:20:00,13.34,70.82,8.17,,
46,05/02/2025 07:30:00,13.79,72.53,8.95,,
47,05/02/2025 07:40:00,14.14,70.81,8.93,,
48,05/02/2025 07:50:00,14.46,70.17,9.11,,
49,05/02/2025 08:00:00,14.83,69.60,9.34,,
50,05/02/2025 08:10:00,15.12,68.25,9.32,,
51,05/02/2025 08:20:00,15.55,67.32,9.53,,
52,05/02/2025 08:30:00,16.09,66.95,9.97,,
53,05/02/2025 08:40:00,16.76,64.97,10.15,,
54,05/02/2025 08:50:00,17.63,60.29,9.86,,
55,05/02/2025 09:00:00,18.22,58.90,10.06,,
56,05/02/2025 09:10:00,18.60,55.94,9.65,,
57,05/02/2025 09:20:00,19.02,55.09,9.81,,
58,05/02/2025 09:30:00,19.30,52.53,9.37,,
59,05/02/2025 09:40:00,19.82,50.65,9.30,,
60,05/02/2025 09:50:00,20.69,46.50,8.84,,
61,05/02/2025 10:00:00,21.49,46.82,9.67,,
62,05/02/2025 10:10:00,21.96,45.66,9.72,,
63,05/02/2025 10:20:00,22.32,42.61,9.02,,
64,05/02/2025 10:30:00,22.73,40.91,8.78,,
65,05/02/2025 10:40:00,23.04,38.78,8.27,,
66,05/02/2025 10:50:00,23.19,39.93,8.84,,
67,05/02/2025 11:00:00,23.44,37.46,8.11,,
68,05/02/2025 11:10:00,23.80,37.64,8.50,,
69,05/02/2025 11:20:00,24.19,36.44,8.37,,
70,05/02/2025 11:30:00,24.51,35.43,8.25,,
71,05/02/2025 11:40:00,24.72,33.27,7.51,,
72,05/02/2025 11:50:00,24.99,33.11,7.67,,
73,05/02/2025 12:00:00,25.35,31.04,7.04,,
74,05/02/2025 12:10:00,25.94,30.16,7.12,,
75,05/02/2025 12:20:00,26.05,30.20,7.24,,
76,05/02/2025 12:30:00,25.98,29.04,6.61,,
77,05/02/2025 12:40:00,25.89,28.45,6.23,,
78,05/02/2025 12:50:00,26.03,28.18,6.22,,
79,05/02/2025 13:00:00,25.83,29.83,6.87,,
80,05/02/2025 13:10:00,26.04,29.23,6.75,,
81,05/02/2025 13:20:00,26.05,28.24,6.26,,
82,05/02/2025 13:30:00,25.69,30.33,7.00,,
83,05/02/2025 13:40:00,25.14,30.84,6.76,,
84,05/02/2025 13:50:00,24.99,29.69,6.08,,
85,05/02/2025 14:00:00,25.72,29.93,6.83,,
86,05/02/2025 14:10:00,26.41,29.40,7.16,,
87,05/02/2025 14:20:00,26.13,32.62,8.44,,
88,05/02/2025 14:30:00,26.66,29.41,7.38,,
89,05/02/2025 14:40:00,26.23,29.91,7.26,,
90,05/02/2025 14:50:00,26.30,30.51,7.60,,
91,05/02/2025 15:00:00,25.65,33.51,8.42,,
92,05/02/2025 15:10:00,25.98,33.18,8.56,,
93,05/02/2025 15:20:00,26.30,32.76,8.65,,
94,05/02/2025 15:30:00,26.30,31.70,8.17,,
95,05/02/2025 15:40:00,26.71,30.46,7.94,,
96,05/02/2025 15:50:00,26.87,30.26,7.98,,
97,05/02/2025 16:00:00,26.58,32.38,8.73,,
98,05/02/2025 16:10:00,26.22,31.92,8.20,,
99,05/02/2025 16:20:00,25.89,33.30,8.54,,
100,05/02/2025 16:30:00,25.96,33.35,8.62,,
101,05/02/2025 16:40:00,26.21,30.96,7.74,,
102,05/02/2025 16:50:00,26.22,30.31,7.44,,
103,05/02/2025 17:00:00,26.21,30.42,7.48,,
104,05/02/2025 17:10:00,26.10,32.28,8.26,,
105,05/02/2025 17:20:00,26.00,32.03,8.06,,
106,05/02/2025 17:30:00,25.81,31.99,7.87,,
107,05/02/2025 17:40:00,25.68,33.59,8.48,,
108,05/02/2025 17:50:00,25.62,35.04,9.06,,
109,05/02/2025 18:00:00,25.49,34.41,8.67,,
110,05/02/2025 18:10:00,25.30,33.95,8.31,,
111,05/02/2025 18:20:00,25.16,37.95,9.83,,
112,05/02/2025 18:30:00,24.94,37.79,9.57,,
113,05/02/2025 18:40:00,24.54,40.28,10.17,,
114,05/02/2025 18:50:00,24.28,39.90,9.80,,
115,05/02/2025 19:00:00,24.22,36.88,8.57,,
116,05/02/2025 19:10:00,24.15,38.40,9.11,,
117,05/02/2025 19:20:00,23.76,42.73,10.35,,
118,05/02/2025 19:30:00,23.23,41.27,9.36,,
119,05/02/2025 19:40:00,22.76,45.86,10.52,,
120,05/02/2025 19:50:00,22.33,45.33,9.95,,
121,05/02/2025 20:00:00,21.98,47.98,10.48,,
122,05/02/2025 20:10:00,21.69,48.72,10.44,,
123,05/02/2025 20:20:00,21.34,48.07,9.93,,
124,05/02/2025 20:30:00,20.97,51.59,10.64,,
125,05/02/2025 20:40:00,20.49,51.55,10.19,,
126,05/02/2025 20:50:00,20.09,52.98,10.23,,
127,05/02/2025 21:00:00,19.80,53.64,10.14,,
128,05/02/2025 21:10:00,19.51,53.38,9.80,,
129,05/02/2025 21:20:00,19.01,50.29,8.45,,
130,05/02/2025 21:30:00,19.43,50.30,8.84,,
131,05/02/2025 21:40:00,19.48,51.46,9.23,,
132,05/02/2025 21:50:00,19.07,50.37,8.53,,
133,05/02/2025 22:00:00,18.78,52.12,8.77,,
134,05/02/2025 22:10:00,18.51,54.34,9.13,,
135,05/02/2025 22:20:00,17.99,55.10,8.86,,
136,05/02/2025 22:30:00,17.84,55.79,8.91,,
137,05/02/2025 22:40:00,17.54,59.19,9.50,,
138,05/02/2025 22:50:00,17.22,60.85,9.62,,
139,05/02/2025 23:00:00,16.74,61.64,9.35,,
140,05/02/2025 23:10:00,16.38,63.22,9.39,,
141,05/02/2025 23:20:00,16.15,63.49,9.23,,
142,05/02/2025 23:30:00,15.91,64.90,9.33,,
143,05/02/2025 23:40:00,15.72,64.84,9.14,,
144,05/02/2025 23:50:00,15.52,66.21,9.26,,
145,05/03/2025 00:00:00,15.21,68.03,9.37,,
146,05/03/2025 00:10:00,14.97,67.91,9.11,,
147,05/03/2025 00:20:00,14.78,67.79,8.90,,
148,05/03/2025 00:30:00,14.62,68.89,8.98,,
149,05/03/2025 00:40:00,14.45,69.94,9.05,,
150,05/03/2025 00:50:00,14.15,70.76,8.94,,
151,05/03/2025 01:00:00,13.83,72.00,8.88,,
152,05/03/2025 01:10:00,13.65,73.57,9.03,,
153,05/03/2025 01:20:00,13.40,74.07,8.89,,
154,05/03/2025 01:30:00,13.19,74.76,8.82,,
155,05/03/2025 01:40:00,12.88,76.00,8.77,,
156,05/03/2025 01:50:00,12.71,76.74,8.75,,
157,05/03/2025 02:00:00,12.62,77.63,8.82,,
158,05/03/2025 02:10:00,12.60,77.48,8.78,,
159,05/03/2025 02:20:00,12.51,78.09,8.81,,
160,05/03/2025 02:30:00,12.41,78.04,8.70,,
