#,Date-Time (CEST/CET),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,End of File
1,07/13/2025 00:00:00,14.28,92.84,13.16,,
2,07/13/2025 00:10:00,14.27,92.83,13.15,,
3,07/13/2025 00:20:00,14.27,92.84,13.15,,
4,07/13/2025 00:30:00,14.25,92.81,13.12,,
5,07/13/2025 00:40:00,14.26,92.83,13.13,,
6,07/13/2025 00:50:00,14.26,92.85,13.14,,
7,07/13/2025 01:00:00,14.26,92.85,13.14,,
8,07/13/2025 01:10:00,14.28,92.95,13.17,,
9,07/13/2025 01:20:00,14.29,93.03,13.20,,
10,07/13/2025 01:30:00,14.34,93.04,13.24,,
11,07/13/2025 01:40:00,14.34,92.99,13.23,,
12,07/13/2025 01:50:00,14.34,92.98,13.23,,
13,07/13/2025 02:00:00,14.38,92.99,13.28,,
14,07/13/2025 02:10:00,14.35,93.09,13.26,,
15,07/13/2025 02:20:00,14.36,93.01,13.26,,
16,07/13/2025 02:30:00,14.33,93.01,13.23,,
17,07/13/2025 02:40:00,14.33,93.04,13.23,,
18,07/13/2025 02:50:00,14.34,93.06,13.25,,
19,07/13/2025 03:00:00,14.29,93.04,13.20,,
20,07/13/2025 03:10:00,14.25,93.00,13.15,,
21,07/13/2025 03:20:00,14.24,93.01,13.14,,
22,07/13/2025 03:30:00,14.20,93.02,13.10,,
23,07/13/2025 03:40:00,14.22,93.10,13.14,,
24,07/13/2025 03:50:00,14.23,93.10,13.15,,
25,07/13/2025 04:00:00,14.20,93.11,13.12,,
26,07/13/2025 04:10:00,14.18,93.12,13.10,,
27,07/13/2025 04:20:00,14.13,93.07,13.05,,
28,07/13/2025 04:30:00,14.10,93.04,13.01,,
29,07/13/2025 04:40:00,14.07,93.06,12.98,,
30,07/13/2025 04:50:00,14.03,93.09,12.94,,
31,07/13/2025 05:00:00,14.03,93.10,12.94,,
32,07/13/2025 05:10:00,13.99,93.05,12.90,,
33,07/13/2025 05:20:00,13.91,93.06,12.82,,
34,07/13/2025 05:30:00,13.85,92.97,12.75,,
35,07/13/2025 05:40:00,13.78,92.98,12.68,,
36,07/13/2025 05:50:00,13.75,93.01,12.65,,
37,07/13/2025 06:00:00,13.71,93.07,12.63,,
38,07/13/2025 06:10:00,13.74,93.22,12.68,,
39,07/13/2025 06:20:00,13.81,93.34,12.77,,
40,07/13/2025 06:30:00,13.83,93.33,12.79,,
