#,Date-Time (CEST/CET),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,End of File
1,05/02/2025 00:00:00,11.43,77.81,7.71,,
2,05/02/2025 00:10:00,11.00,79.75,7.65,,
3,05/02/2025 00:20:00,10.68,81.29,7.62,,
4,05/02/2025 00:30:00,10.39,82.18,7.49,,
5,05/02/2025 00:40:00,10.16,82.60,7.35,,
6,05/02/2025 00:50:00,9.93,83.83,7.33,,
7,05/02/2025 01:00:00,9.91,84.50,7.43,,
8,05/02/2025 01:10:00,9.91,84.56,7.44,,
9,05/02/2025 01:20:00,9.93,84.65,7.48,,
10,05/02/2025 01:30:00,9.86,85.03,7.48,,
11,05/02/2025 01:40:00,9.90,84.36,7.39,,
12,05/02/2025 01:50:00,9.84,83.72,7.23,,
13,05/02/2025 02:00:00,9.84,83.62,7.21,,
14,05/02/2025 02:10:00,9.89,83.79,7.28,,
15,05/02/2025 02:20:00,9.84,84.65,7.39,,
16,05/02/2025 02:30:00,9.91,84.08,7.36,,
17,05/02/2025 02:40:00,9.88,83.11,7.15,,
18,05/02/2025 02:50:00,9.82,83.90,7.24,,
19,05/02/2025 03:00:00,9.79,84.00,7.23,,
20,05/02/2025 03:10:00,9.66,83.57,7.02,,
21,05/02/2025 03:20:00,9.56,83.11,6.85,,
22,05/02/2025 03:30:00,9.41,83.65,6.80,,
23,05/02/2025 03:40:00,9.41,84.54,6.95,,
24,05/02/2025 03:50:00,9.53,84.05,6.98,,
25,05/02/2025 04:00:00,9.74,83.34,7.06,,
26,05/02/2025 04:10:00,9.96,82.28,7.09,,
27,05/02/2025 04:20:00,10.09,81.99,7.17,,
28,05/02/2025 04:30:00,9.93,81.31,6.89,,
29,05/02/2025 04:40:00,9.62,81.96,6.70,,
30,05/02/2025 04:50:00,9.48,82.92,6.73,,
31,05/02/2025 05:00:00,9.42,82.70,6.64,,
32,05/02/2025 05:10:00,9.42,82.88,6.67,,
33,05/02/2025 05:20:00,9.33,82.53,6.52,,
34,05/02/2025 05:30:00,9.29,83.42,6.63,,
35,05/02/2025 05:40:00,9.31,83.52,6.67,,
36,05/02/2025 05:50:00,9.29,83.69,6.68,,
37,05/02/2025 06:00:00,9.30,82.90,6.55,,
38,05/02/2025 06:10:00,9.29,83.59,6.66,,
39,05/02/2025 06:20:00,9.49,83.19,6.79,,
40,05/02/2025 06:30:00,9.57,83.18,6.87,,
41,05/02/2025 06:40:00,9.68,83.63,7.06,,
42,05/02/2025 06:50:00,9.90,83.98,7.33,,
43,05/02/2025 07:00:00,10.22,84.72,7.77,,
44,05/02/2025 07:10:00,10.90,85.45,8.57,,
45,05/02/2025 07:20:00,12.13,83.04,9.35,,
46,05/02/2025 07:30:00,12.86,81.58,9.80,,
47,05/02/2025 07:40:00,13.24,81.25,10.11,,
48,05/02/2025 07:50:00,13.88,78.82,10.28,,
49,05/02/2025 08:00:00,14.70,76.66,10.66,,
50,05/02/2025 08:10:00,15.99,75.13,11.60,,
51,05/02/2025 08:20:00,16.94,69.49,11.34,,
52,05/02/2025 08:30:00,17.91,69.10,12.18,,
53,05/02/2025 08:40:00,18.25,69.14,12.52,,
54,05/02/2025 08:50:00,18.17,69.99,12.62,,
55,05/02/2025 09:00:00,17.87,66.45,11.55,,
56,05/02/2025 09:10:00,18.86,66.40,12.48,,
57,05/02/2025 09:20:00,19.98,61.58,12.39,,
58,05/02/2025 09:30:00,21.02,60.73,13.16,,
