#,Date-Time (CEST),Temperature   (°C),RH   (%),Dew Point   (°C),Button Down,Host Connected,End of File
1,05/08/2025 00:00:00,7.07,54.83,-1.40,,,
2,05/08/2025 00:10:00,6.93,56.31,-1.16,,,
3,05/08/2025 00:20:00,6.70,57.40,-1.11,,,
4,05/08/2025 00:30:00,6.40,59.42,-0.92,,,
5,05/08/2025 00:40:00,6.20,58.99,-1.21,,,
6,05/08/2025 00:50:00,6.16,61.96,-0.57,,,
7,05/08/2025 01:00:00,6.04,62.09,-0.67,,,
8,05/08/2025 01:10:00,5.89,61.35,-0.97,,,
9,05/08/2025 01:20:00,5.69,62.59,-0.88,,,
10,05/08/2025 01:30:00,5.66,64.90,-0.42,,,
11,05/08/2025 01:40:00,5.53,63.95,-0.74,,,
12,05/08/2025 01:50:00,5.36,64.16,-0.86,,,
13,05/08/2025 02:00:00,5.24,64.99,-0.80,,,
14,05/08/2025 02:10:00,4.94,65.62,-0.95,,,
15,05/08/2025 02:20:00,4.74,67.75,-0.71,,,
16,05/08/2025 02:30:00,4.56,69.57,-0.52,,,
17,05/08/2025 02:40:00,4.31,69.87,-0.70,,,
18,05/08/2025 02:50:00,4.05,71.80,-0.57,,,
19,05/08/2025 03:00:00,3.89,72.01,-0.69,,,
20,05/08/2025 03:10:00,3.86,73.30,-0.48,,,
21,05/08/2025 03:20:00,3.75,73.80,-0.49,,,
22,05/08/2025 03:30:00,3.54,73.74,-0.71,,,
23,05/08/2025 03:40:00,3.35,74.66,-0.71,,,
24,05/08/2025 03:50:00,3.17,75.46,-0.74,,,
25,05/08/2025 04:00:00,2.95,77.82,-0.54,,,
26,05/08/2025 04:10:00,2.91,77.90,-0.56,,,
27,05/08/2025 04:20:00,2.74,78.23,-0.67,,,
28,05/08/2025 04:30:00,2.75,76.96,-0.88,,,
29,05/08/2025 04:40:00,2.83,77.75,-0.67,,,
30,05/08/2025 04:50:00,2.78,77.58,-0.75,,,
31,05/08/2025 05:00:00,2.73,77.45,-0.81,,,
32,05/08/2025 05:10:00,2.67,78.88,-0.63,,,
33,05/08/2025 05:20:00,2.58,78.07,-0.85,,,
34,05/08/2025 05:30:00,2.42,79.57,-0.75,,,
35,05/08/2025 05:40:00,2.26,79.48,-0.92,,,
36,05/08/2025 05:50:00,2.21,80.22,-0.85,,,
37,05/08/2025 06:00:00,2.25,81.63,-0.57,,,
38,05/08/2025 06:10:00,2.45,82.76,-0.18,,,
39,05/08/2025 06:20:00,2.78,78.95,-0.51,,,
40,05/08/2025 06:30:00,3.14,78.34,-0.26,,,
41,05/08/2025 06:40:00,3.40,77.65,-0.13,,,
42,05/08/2025 06:50:00,3.65,76.07,-0.16,,,
43,05/08/2025 07:00:00,3.89,74.86,-0.16,,,
44,05/08/2025 07:10:00,4.17,75.11,0.16,,,
45,05/08/2025 07:20:00,4.42,72.08,-0.17,,,
46,05/08/2025 07:30:00,4.74,70.57,-0.15,,,
47,05/08/2025 07:40:00,5.07,69.41,-0.06,,,
48,05/08/2025 07:50:00,5.36,67.56,-0.15,,,
49,05/08/2025 08:00:00,5.62,66.98,-0.03,,,
50,05/08/2025 08:10:00,6.02,65.72,0.10,,,
51,05/08/2025 08:20:00,6.38,64.78,0.24,,,
52,05/08/2025 08:30:00,7.01,62.81,0.42,,,
53,05/08/2025 08:40:00,7.72,59.63,0.37,,,
54,05/08/2025 08:50:00,8.18,61.72,1.28,,,
55,05/08/2025 09:00:00,9.15,55.28,0.66,,,
56,05/08/2025 09:10:00,9.93,53.09,0.83,,,
57,05/08/2025 09:20:00,9.88,51.86,0.46,,,
58,05/08/2025 09:30:00,10.28,51.45,0.72,,,
59,05/08/2025 09:40:00,10.53,46.59,-0.42,,,
60,05/08/2025 09:50:00,10.93,46.01,-0.23,,,
61,05/08/2025 10:00:00,10.78,47.14,-0.03,,,
62,05/08/2025 10:10:00,10.82,44.18,-0.88,,,
63,05/08/2025 10:20:00,11.04,42.96,-1.06,,,
64,05/08/2025 10:30:00,11.17,40.26,-1.82,,,
65,05/08/2025 10:40:00,11.56,40.12,-1.52,,,
66,05/08/2025 10:50:00,11.99,40.60,-0.98,,,
67,05/08/2025 11:00:00,12.23,40.75,-0.71,,,
68,05/08/2025 11:10:00,12.25,40.84,-0.67,,,
69,05/08/2025 11:20:00,11.92,42.23,-0.50,,,
70,05/08/2025 11:30:00,11.85,40.70,-1.07,,,
71,05/08/2025 11:40:00,11.93,40.02,-1.22,,,
72,05/08/2025 11:50:00,12.07,40.43,-0.96,,,
73,05/08/2025 12:00:00,12.29,39.51,-1.08,,,
74,05/08/2025 12:10:00,12.17,40.17,-0.96,,,
75,05/08/2025 12:20:00,12.38,39.42,-1.02,,,
76,05/08/2025 12:30:00,12.35,39.84,-0.91,,,
77,05/08/2025 12:40:00,12.43,40.23,-0.71,,,
78,05/08/2025 12:50:00,12.60,39.51,-0.80,,,
79,05/08/2025 13:00:00,12.18,40.24,-0.92,,,
80,05/08/2025 13:10:00,11.67,42.20,-0.74,,,
81,05/08/2025 13:20:00,12.04,41.97,-0.47,,,
82,05/08/2025 13:30:00,11.45,40.88,-1.37,,,
83,05/08/2025 13:40:00,11.57,40.95,-1.24,,,
84,05/08/2025 13:50:00,11.56,40.40,-1.43,,,
85,05/08/2025 14:00:00,11.79,39.16,-1.64,,,
86,05/08/2025 14:10:00,11.69,38.83,-1.85,,,
87,05/08/2025 14:20:00,12.11,38.90,-1.45,,,
88,05/08/2025 14:30:00,12.32,39.66,-1.00,,,
89,05/08/2025 14:40:00,12.45,39.62,-0.90,,,
90,05/08/2025 14:50:00,12.30,39.54,-1.06,,,
91,05/08/2025 15:00:00,12.47,38.67,-1.21,,,
92,05/08/2025 15:10:00,12.04,38.00,-1.83,,,
93,05/08/2025 15:20:00,11.93,38.83,-1.63,,,
94,05/08/2025 15:30:00,12.08,39.05,-1.42,,,
95,05/08/2025 15:40:00,12.21,39.16,-1.27,,,
