"Name";"plot.ID";"site";"arbeitsname";"Transekt";"Transektnummer";"Art";"Schicht";"Deckung";"Wuchsform";"Sukzessionszeiger";"Moorart"
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Pinus_sylvestris";"TL";88;"woody";NA;NA
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Betula_pubescens";"TL";0;"woody";NA;TRUE
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Betula";"HL";0;"woody";TRUE;TRUE
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Callitriche_palustris";"HL";0;"";NA;NA
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Calluna_vulgaris";"HL";0;"woody";NA;TRUE
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Carex_canescens";"HL";0;"grass";NA;TRUE
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Carex_echinata";"HL";0;"grass";NA;TRUE
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Carex_nigra";"HL";0;"grass";NA;TRUE
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Carex_rostrata";"HL";0;"grass";NA;TRUE
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Digitalis_purpurea";"HL";0;"";NA;NA
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Dryopteris_carthusiana";"HL";0;"";NA;NA
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Eriophorum_angustifolium";"HL";0;"grass";NA;TRUE
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Frangula_alnus";"HL";0;"woody";TRUE;NA
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Holcus_lanatus";"HL";0;"grass";NA;NA
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Juncus_effusus";"HL";0;"grass";NA;NA
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Lycopus_europaeus";"HL";0;"";TRUE;NA
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Molinia_caerulea";"HL";38;"grass";NA;TRUE
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Pinus_sylvestris";"HL";0;"woody";NA;NA
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Pteridium_aquilinum";"HL";0;"";TRUE;NA
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Quercus_robur";"HL";0;"woody";NA;NA
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Rubus_caesius";"HL";0;"";TRUE;NA
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Salix_aurita";"HL";0;"woody";NA;TRUE
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Scrophularia_nodosa";"HL";0;"";TRUE;NA
