Name,plot.ID,site,arbeitsname,Art,Schicht,Deckung
MT1,1,Meu_trock,WM1,Pinus sylvestris,TL,88
MT1,1,Meu_trock,WM1,Molinia caerulea caerulea,HL,38
MT1,1,Meu_trock,WM1,Polytrichum formosum Hedw.,ML,"4,5"
MT1,1,Meu_trock,WM1,Picea abies (excelsa),SL,18
MT2,2,Meu_trock,WM2,Pinus sylvestris,TL,88
MT2,2,Meu_trock,WM2,Molinia caerulea caerulea,HL,38
MT2,2,Meu_trock,WM2,Pteridium aquilinum,HL,18
MT2,2,Meu_trock,WM2,Vaccinium myrtillus,HL,"0,5"
MT2,2,Meu_trock,WM2,Polytrichum formosum Hedw.,ML,"4,5"
MT3,3,Meu_trock,WM3,Pinus sylvestris,TL,38
MT3,3,Meu_trock,WM3,Molinia caerulea caerulea,HL,18
MT3,3,Meu_trock,WM3,Pteridium aquilinum,HL,"0,5"
MT3,3,Meu_trock,WM3,Vaccinium myrtillus,HL,"4,5"
MT3,3,Meu_trock,WM3,Hypnum cupressiforme Hedw. ssp. cupr. var. cupressiforme,ML,"0,5"
MT3,3,Meu_trock,WM3,Polytrichum formosum Hedw.,ML,18
MT3,3,Meu_trock,WM3,Betula pendula,SL,38
MT4,4,Meu_trock,WM4,Pinus sylvestris,TL,38
MT4,4,Meu_trock,WM4,Frangula alnus,HL,"0,1"
MT4,4,Meu_trock,WM4,Pinus sylvestris,HL,"0,1"
MT4,4,Meu_trock,WM4,Pteridium aquilinum,HL,18
MT4,4,Meu_trock,WM4,Vaccinium myrtillus,HL,"4,5"
MT4,4,Meu_trock,WM4,Hypnum cupressiforme Hedw. ssp. cupr. var. cupressiforme,ML,"0,1"
MT4,4,Meu_trock,WM4,Polytrichum formosum Hedw.,ML,18
MT5,5,Meu_trock,WM5,Pinus sylvestris,TL,38
MT5,5,Meu_trock,WM5,Molinia caerulea caerulea,HL,38
MT5,5,Meu_trock,WM5,Pteridium aquilinum,HL,"4,5"
MT5,5,Meu_trock,WM5,Vaccinium myrtillus,HL,"0,5"
MT5,5,Meu_trock,WM5,Campylopus pyriformis (K. F. Schultz) Brid.,ML,"0,1"
MT5,5,Meu_trock,WM5,Hypnum cupressiforme Hedw. ssp. cupr. var. cupressiforme,ML,"0,1"
MT5,5,Meu_trock,WM5,Polytrichum formosum Hedw.,ML,18
MT5,5,Meu_trock,WM5,Tetraphis pellucida Hedw.,ML,"0,1"
MT5,5,Meu_trock,WM5,Pinus sylvestris,SL,"4,5"
