Art,Wuchsform,Sukzessionszeiger,Moorart
Betula,woody,TRUE,TRUE
Betula_pendula,woody,TRUE,
Betula_pubescens,woody,,TRUE
Callitriche_palustris,,,
Calluna_vulgaris,woody,,TRUE
Campylopus_flexuosus,,,
Campylopus_pyriformis,,,
Carex_canescens,grass,,TRUE
Carex_echinata,grass,,TRUE
Carex_nigra,grass,,TRUE
Carex_rostrata,grass,,TRUE
Dicranella_cerviculata,,,
Dicranodontium_denudatum,,,
Dicranum_flagellare,,,
Dicranum_scoparia,,,
Digitalis_purpurea,,,
Dryopteris_carthusiana,,,
Eriophorum_angustifolium,grass,,TRUE
Fagus_sylvatica,woody,TRUE,
Frangula_alnus,woody,TRUE,
Fuscocephaloziopsis_connivens,,,
Holcus_lanatus,grass,,
Hypnum_cupressiforme,,,
Hypnum_jutlandicum,,,
Juncus_effusus,grass,,
Lepidozia_reptans,,,
Leucobryum_glaucum,,,
Lophocolea_heterophylla,,,
Lycopus_europaeus,,TRUE,
Mnium_hornum,,,
Molinia_caerulea,grass,,TRUE
Picea_abies,woody,,
Pinus_sylvestris,woody,,
Pohlia_nutans,,,
Polytrichum_formosum,,,
Pteridium_aquilinum,,TRUE,
Quercus_robur,woody,,
Riccardia_latifrons,,,
Rubus_caesius,,TRUE,
Salix_aurita,woody,,TRUE
Scrophularia_nodosa,,TRUE,
Sphagnum_auriculatum,,,TRUE
Sphagnum_capillifolium,,,TRUE
Sphagnum_cuspidatum,,,TRUE
Sphagnum_fallax,,,TRUE
Sphagnum_fimbriatum,,,TRUE
Sphagnum_girgensohnii,,,TRUE
Sphagnum_russowii,,,TRUE
Sphagnum_squarrosum,,,TRUE
Tetraphis_pellucida,,,
Typha_latifolia,,,TRUE
Vaccinium_myrtillus,woody,,TRUE
Vaccinium_oxycoccos,,,TRUE
