id,layer
Agrostis tenuis (capillaris),HL
Agrostis stolonifera agg.,HL
Betula_HL,HL
Betula pendula,SL
Betula pendula,TL
Betula pubescens,SL
Brachypodium sylvaticum,HL
Calamagrostis epigejos,HL
Callitriche palustris agg.,HL
Calluna vulgaris,HL
Campylopus flexuosus (Hedw.) Brid.,ML
Campylopus pyriformis (K. F. Schultz) Brid.,ML
Carex canescens canescens,HL
Carex echinata (stellulata),HL
"Carex nigra (fusca, goodenowii)",HL
Carex pilulifera,HL
Carex rostrata (inflata),HL
Deschampsia cespitosa,HL
Dicranella cerviculata (Hedw.) Schimp.,ML
Dicranodontium denudatum (Brid.) Britt. ex Williams var. denudatum,ML
Dicranum flagellare Hedw.,ML
Dicranum scoparium Hedw.,ML
Digitalis purpurea,HL
Dryopteris carthusiana (spinulosa),HL
Epilobium angustifolium,HL
Eriophorum angustifolium,HL
Fagus sylvatica,SL
Frangula alnus,HL
Frangula alnus,SL
Cephalozia connivens (Dicks.) Lindb.,ML
Holcus lanatus,HL
Hypnum cupressiforme Hedw. ssp. cupr. var. cupressiforme,ML
Hypnum jutlandicum Holmen & Warncke (ericetorum),ML
Juncus bulbosus (supinus),HL
Juncus effusus,HL
Lepidozia reptans (L.) Dum.,ML
Leucobryum glaucum (Hedw.) Aongstr. ex Fries,ML
Lophocolea heterophylla (Schrad.) Dum.,ML
Luzula campestris multiflora,HL
Luzula pilosa,HL
Lycogala_epidendrum (Schleimpilz),
Lycopus europaeus ssp. europaeus,HL
Mnium hornum Hedw.,ML
Molinia caerulea caerulea,HL
Picea abies (excelsa),HL
Picea abies (excelsa),SL
Picea abies (excelsa),TL
Pinus sylvestris,HL
Pinus sylvestris,SL
Pinus sylvestris,TL
Pohlia nutans (Hedw.) Lindb.,ML
Polytrichum formosum Hedw.,ML
Pteridium aquilinum,HL
Quercus robur,HL
Riccardia latifrons (Lindb.) Lindb.,ML
Rubus caesius,HL
Salix aurita,HL
Salix aurita,SL
Festuca gigantea,HL
Scrophularia nodosa,HL
"Sphagnum denticulatum Brid. (auriculatum, rufescens)",ML
Sphagnum capillifolium (L.) Hedw. var. capillifolium (nemoreum),ML
Sphagnum cuspidatum Ehrh. ex Hoffm. var. cuspidatum,ML
"Sphagnum fallax (Klinggr.) Klinggr. (mucronatum, recurvum)",ML
Sphagnum fimbriatum Wils. ex Wils. & J. D. Hook.,ML
Sphagnum girgensohnii Russ.,ML
Sphagnum russowii Warnst. (robustum),ML
Sphagnum squarrosum Crome,ML
Tetraphis pellucida Hedw.,ML
Vaccinium myrtillus,HL
Vaccinium oxycoccus oxycoccus (Oxyc. palustr.),HL
Vaccinium vitis–idaea,HL
Betula pubescens,TL
Typha latifolia,ML
