id	taxonID	scientificName	kingdom
Acaulon muticum (Hedw.) C. Muell.	Acaulon muticum (Hedw.) C. Muell.	Acaulon muticum (Hedw.) C. Muell.	Plantae
Acaulon piligerum (De Not.) Limpr.	Acaulon piligerum (De Not.) Limpr.	Acaulon piligerum (De Not.) Limpr.	Plantae
Acaulon triquetrum (Spruce) C. Muell.	Acaulon triquetrum (Spruce) C. Muell.	Acaulon triquetrum (Spruce) C. Muell.	Plantae
Aloina aloides (Koch ex F. H. Schultz) Kindb.	Aloina aloides (Koch ex F. H. Schultz) Kindb.	Aloina aloides (Koch ex F. H. Schultz) Kindb.	Plantae
Aloina ambigua (Br. & S.) Limpr.	Aloina ambigua (Br. & S.) Limpr.	Aloina ambigua (Br. & S.) Limpr.	Plantae
Aloina brevirostris (Hook. & Grev.) Kindb.	Aloina brevirostris (Hook. & Grev.) Kindb.	Aloina brevirostris (Hook. & Grev.) Kindb.	Plantae
Aloina rigida (Hedw.) Limpr.	Aloina rigida (Hedw.) Limpr.	Aloina rigida (Hedw.) Limpr.	Plantae
Amblyodon dealbatus (Hedw.) B. & S.	Amblyodon dealbatus (Hedw.) B. & S.	Amblyodon dealbatus (Hedw.) B. & S.	Plantae
Amblystegium humile (P. Beauv.) Crundwell (kochii)	Amblystegium humile (P. Beauv.) Crundwell (kochii)	Amblystegium humile (P. Beauv.) Crundwell (kochii)	Plantae
Amblystegium riparium (Hedw.) B., S. & G.	Amblystegium riparium (Hedw.) B., S. & G.	Amblystegium riparium (Hedw.) B., S. & G.	Plantae
Amblystegium saxatile Schimp.	Amblystegium saxatile Schimp.	Amblystegium saxatile Schimp.	Plantae
Amblystegium serpens (Hedw.) B., S. & G. var. serpens	Amblystegium serpens (Hedw.) B., S. & G. var. serpens	Amblystegium serpens (Hedw.) B., S. & G. var. serpens	Plantae
Amblystegium serpens var. juratzkanum (Schimp.) Rau & Herv.	Amblystegium serpens var. juratzkanum (Schimp.) Rau & Herv.	Amblystegium serpens var. juratzkanum (Schimp.) Rau & Herv.	Plantae
Amblystegium serpens var. salinum Carringt.	Amblystegium serpens var. salinum Carringt.	Amblystegium serpens var. salinum Carringt.	Plantae
Amblystegium varium (Hedw.) Lindb.	Amblystegium varium (Hedw.) Lindb.	Amblystegium varium (Hedw.) Lindb.	Plantae
